index,value,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
26,1,월드투어 <color=red>{0}회</color> 성공,World Tour <color=red>{0} times</color> success,ワールドツアー <color=red>{0} 回</color> 成功,世界巡回赛 <color=red>{0} 次</color> 成功,世界巡迴賽 <color=red>{0} 次</color> 成功,Мировой тур <color=red>{0} раз</color> успех,Tournée mondiale <color=red>{0} fois</color> succès,Gira mundial <color=red>{0} veces</color> éxito,Chuyến lưu diễn vòng quanh thế giới <color=red>{0} lần</color> thành công
27,0,잠재력 오픈 <color=red>{0}회</color>,Potential Open <color=red>{0} times</color>,潜在的なオープン回数 <color=red>{0}回</color>,潜在开盘次数 <color=red>{0} 次</color>,潛在開盤次數 <color=red>{0} 次</color>,Потенциальное открытие <color=red>{0} раз</color>,Ouverture potentielle <color=red>{0} fois</color>,Posible apertura <color=red>{0} veces</color>,Khả năng mở cửa <color=red>{0} lần</color>
28,1,보석 뽑기 <color=red>{0}회</color>,Gem Draw <color=red>{0} times</color>,宝石抽選 <color=red>{0} 回</color>,宝石抽取 <color=red>{0} 次</color>,寶石抽取 <color=red>{0} 次</color>,Рисование драгоценных камней <color=red>{0} раз</color>,Tirage de gemmes <color=red>{0} fois</color>,Sorteo de gemas <color=red>{0} veces</color>,Rút thăm đá quý <color=red>{0} lần</color>
29,1,보석 장착 <color=red>{0}회</color>,Equip gems <color=red>{0} times</color>,宝石を装備する <color=red>{0} 回</color>,装备宝石 <color=red>{0} 次</color>,裝備寶石 <color=red>{0} 次</color>,Экипируйте самоцветы <color=red>{0} раз</color>,Équipez des gemmes <color=red>{0} fois</color>,Equipar gemas <color=red>{0} veces</color>,Trang bị ngọc <color=red>{0} lần</color>
30,1,보삭 강화 <color=red>{0}회</color>,Bosak Enhancement <color=red>{0} times</color>,ボサック強化 <color=red>{0}回</color>,Bosak 增强 <color=red>{0} 次</color>,Bosak 增強 <color=red>{0} 次</color>,Улучшение Босака <color=red>{0} раз</color>,Amélioration Bosak <color=red>{0} fois</color>,Mejora de Bosak <color=red>{0} veces</color>,Tăng cường Bosak <color=red>{0} lần</color>
31,1,<color=red>잠재력 재설정</color> 보기,<color=red>Reset Potential</color> View,<color=red>電位をリセット</color> 表示,<color=red>复位电位</color> 查看,<color=red>重設電位</color> 查看,<color=red>Сбросить потенциал</color> Просмотреть,<color=red>Réinitialiser le potentiel</color> Afficher,<color=red>Restablecer potencial</color> Ver,<color=red>Đặt lại điện thế</color> Xem
32,1,재침공 <color=red>{0}회</color> 성공,Re-invasion <color=red>{0} times</color> success,再侵入成功 <color=red>{0} 回</color>,再次入侵成功次数：{0} 次,再入侵成功次數：{0} 次,Повторное вторжение <color=red>{0} раз</color> успешно,Réinvasion <color=red>{0} fois</color> succès,Reinvasión <color=red>{0} veces</color> éxito,Tái xâm lược <color=red>{0} lần</color> thành công
33,1,장비 장착 <color=red>{0}회</color>,Equipment installed <color=red>{0} times</color>,機器のインストール回数 <color=red>{0}回</color>,设备已安装<color=red>{0} 次</color>,裝置已安裝<color=red>{0} 次</color>,Оборудование установлено <color=red>{0} раз</color>,Équipement installé <color=red>{0} fois</color>,Equipo instalado <color=red>{0} veces</color>,Thiết bị được lắp đặt <color=red>{0} lần</color>
34,1,강화 <color=red>{0}회</color>,Enhancement <color=red>{0} times</color>,機能強化 <color=red>{0} 回</color>,增强次数：{0} 次,增強次數：{0} 次,Улучшение <color=red>{0} раз</color>,Amélioration <color=red>{0} fois</color>,Mejora <color=red>{0} veces</color>,Tăng cường <color=red>{0} lần</color>
35,0,장비 <color=red>각인</color> 보기,View Equipment <color=red>Engraving</color>,機器を見る <color=red>彫刻</color>,查看设备 <color=red>雕刻</color>,檢視設備 <color=red>雕刻</color>,Просмотр оборудования <color=red>Гравировка</color>,Afficher l'équipement <color=red>Gravure</color>,Ver equipo <color=red>Grabado</color>,Xem thiết bị <color=red>Khắc</color>
36,1,<color=red>구스</color> {0}회 클리어,<color=red>Goose</color> Clear {0} times,<color=red>ガチョウ</color> クリア{0}回,<color=red>鹅</color> 清除 {0} 次,<color=red>鵝</color> 清除 {0} 次,<color=red>Гусь</color> Очистить {0} раз,<color=red>Oie</color> Effacer {0} fois,<color=red>Ganso</color> Borrar {0} veces,<color=red>Ngỗng</color> Xóa {0} lần
37,1,<color=red>스컬</color> {0}회 클리어,<color=red>Skull</color> Clear {0} times,<color=red>頭蓋骨</color> クリア {0} 回,<color=red>骷髅</color> 清除 {0} 次,<color=red>骷髏</color> 清除 {0} 次,<color=red>Череп</color> Очистить {0} раз,<color=red>Crâne</color> Effacer {0} fois,<color=red>Calavera</color> Borrar {0} veces,<color=red>Đầu lâu</color> Xóa {0} lần
38,1,<color=red>스파이더</color> {0}회 클리어,<color=red>Spider</color> Clear {0} times,<color=red>クモ</color> クリア {0} 回,<color=red>蜘蛛</color> 清除 {0} 次,<color=red>蜘蛛</color> 清除 {0} 次,<color=red>Паук</color> Очистить {0} раз,<color=red>Araignée</color> Effacer {0} fois,<color=red>Araña</color> Borrar {0} veces,<color=red>Nhện</color> Xóa {0} lần
39,1,무기 제작 <color=red>{0}회</color>,Weapon crafting <color=red>{0} times</color>,武器作成 <color=red>{0} 回</color>,武器制作次数：<color=red>{0} 次</color>,武器製作次數：<color=red>{0} 次</color>,Создание оружия <color=red>{0} раз</color>,Fabrication d'armes <color=red>{0} fois</color>,Fabricación de armas <color=red>{0} veces</color>,Chế tạo vũ khí <color=red>{0} lần</color>
40,1,모자 제작 <color=red>{0}회</color>,Hat production <color=red>{0} times</color>,帽子の生産 <color=red>{0} 回</color>,帽子生产次数：0 次,帽子生產次數：0 次,Производство шляп <color=red>{0} раз</color>,Production de chapeaux <color=red>{0} fois</color>,Producción de sombreros <color=red>{0} veces</color>,Sản xuất mũ <color=red>{0} lần</color>
41,1,상의 제작 <color=red>{0}회</color>,Top production <color=red>{0} times</color>,トップ生産 <color=red>{0} 回</color>,最高产量 <color=red>{0} 次</color>,最高產量 <color=red>{0} 次</color>,Максимальная производительность <color=red>{0} раз</color>,Production maximale <color=red>{0} fois</color>,Máxima producción <color=red>{0} veces</color>,Sản lượng hàng đầu <color=red>{0} lần</color>
42,1,마이크 제작 <color=red>{0}회</color>,Microphone production <color=red>{0} times</color>,マイクの生産 <color=red>{0} 回</color>,麦克风产量 <color=red>{0} 次</color>,麥克風產量 <color=red>{0} 次</color>,Производство микрофона <color=red>{0} раз</color>,Production du microphone <color=red>{0} fois</color>,Producción de micrófono <color=red>{0} veces</color>,Sản xuất micro <color=red>{0} lần</color>
43,1,반지 제작 <color=red>{0}회</color>,Ring making <color=red>{0} times</color>,指輪作り <color=red>{0} 回</color>,制作戒指 <color=red>{0} 次</color>,製作戒指 <color=red>{0} 次</color>,Изготовление кольца <color=red>{0} раз</color>,Fabrication de bagues <color=red>{0} fois</color>,Fabricación de anillos <color=red>{0} veces</color>,Làm nhẫn <color=red>{0} lần</color>
44,1,하의 제작 <color=red>{0}회</color>,Bottoms production <color=red>{0} times</color>,ボトムス生産 <color=red>{0} 回</color>,底部产量 <color=red>{0} 次</color>,底部產量 <color=red>{0} 次</color>,Производство нижней части тела <color=red>{0} раз</color>,Production de bas <color=red>{0} fois</color>,Producción de fondos <color=red>{0} veces</color>,Sản xuất quần <color=red>{0} lần</color>
45,1,장갑 제작 <color=red>{0}회</color>,Glove production <color=red>{0} times</color>,手袋の生産 <color=red>{0} 回</color>,手套生产次数 <color=red>{0} 次</color>,手套生產次數 <color=red>{0} 次</color>,Производство перчаток <color=red>{0} раз</color>,Production de gants <color=red>{0} fois</color>,Producción de guantes <color=red>{0} veces</color>,Sản xuất găng tay <color=red>{0} lần</color>
46,1,타이 제작 <color=red>{0}회</color>,Tie production <color=red>{0} times</color>,ネクタイ製造 <color=red>{0} 回</color>,领带生产次数 <color=red>{0} 次</color>,領帶生產次數 <color=red>{0} 次</color>,Производство галстуков <color=red>{0} раз</color>,Production de cravates <color=red>{0} fois</color>,Producción de corbatas <color=red>{0} veces</color>,Sản xuất dây buộc <color=red>{0} lần</color>
47,1,신발 제작 <color=red>{0}회</color>,Shoe making <color=red>{0} times</color>,靴作り <color=red>{0} 回</color>,制鞋次数 <color=red>{0} 次</color>,製鞋次數 <color=red>{0} 次</color>,Изготовление обуви <color=red>{0} раз</color>,Fabrication de chaussures <color=red>{0} fois</color>,Fabricación de zapatos <color=red>{0} veces</color>,Làm giày <color=red>{0} lần</color>
48,1,보석 <color=red>합성</color> 보기,View <color=red>Synthetic</color> gemstones,合成宝石を見る,查看<color=red>合成</color>宝石,看看<color=red>合成</color>寶石,Посмотреть <color=red>Синтетические</color> драгоценные камни,Voir les pierres précieuses synthétiques,Ver gemas sintéticas,Xem các loại đá quý tổng hợp
49,1,무기 상자 <color=red>{0}회</color> 열기,Open Weapon Box <color=red>{0} times</color>,武器ボックスを開く <color=red>{0} 回</color>,打开武器箱 <color=red>{0} 次</color>,打開武器箱 <color=red>{0} 次</color>,Открывайте оружейный ящик <color=red>{0} раз</color>,Ouvrir la boîte d'armes <color=red>{0} fois</color>,Abrir caja de armas <color=red>{0} veces</color>,Mở hộp vũ khí <color=red>{0} lần</color>
50,1,특수 무기 <color=red>{0}회</color> 승급,Special Weapon <color=red>{0} times</color> Upgrade,特殊武器 <color=red>{0} 回</color> アップグレード,特殊武器升级<color=red>{0} 次</color>,特殊武器升級<color=red>{0} 次</color>,Улучшение специального оружия <color=red>{0} раз</color>,Amélioration d'arme spéciale <color=red>{0} fois</color>,Mejora de arma especial <color=red>{0} veces</color>,Nâng cấp vũ khí đặc biệt <color=red>{0} lần</color>
51,1,스킬 <color=red>{0}회</color> 강화,Skill <color=red>{0} times</color> Enhance,スキル <color=red>{0} 回</color> 強化,技能强化 <color=red>{0} 次</color>,技能強化 <color=red>{0} 次</color>,Улучшение навыка <color=red>{0} раз</color>,Compétence <color=red>{0} fois</color> Améliorer,Habilidad <color=red>{0} veces</color> Mejorar,Kỹ năng <color=red>{0} lần</color> Nâng cao
52,1,특성 <color=red>{0}회</color> 강화,Attribute <color=red>{0} times</color> Enhance,属性 <color=red>{0} 回</color> 強化,属性 <color=red>{0} 次</color> 增强,屬性 <color=red>{0} 次</color> 增強,Атрибут <color=red>{0} раз</color> Улучшить,Attribut <color=red>{0} fois</color> Améliorer,Atributo <color=red>{0} veces</color> Mejorar,Thuộc tính <color=red>{0} lần</color> Tăng cường
53,1,공격력 <color=red>{0}회</color> 강화,Attack Power <color=red>{0} times</color> Enhance,攻撃力 <color=red>{0}倍</color> 強化,攻击力 <color=red>{0} 次</color> 强化,攻擊力 <color=red>{0} 次</color> 強化,Усиление силы атаки <color=red>{0} раз</color>,Puissance d'attaque <color=red>{0} fois</color> Améliorer,Poder de ataque <color=red>{0} veces</color> Mejorar,Sức tấn công <color=red>{0} lần</color> Tăng cường
54,1,체력 <color=red>{0}회</color> 강화,Strength <color=red>{0} times</color> Enhance,強度 <color=red>{0}倍</color> 強化,强度 <color=red>{0} 倍</color> 增强,強度 <color=red>{0} 倍</color> 增強,Усиление <color=red>{0} раз</color>,Renforcer la force <color=red>{0} fois</color>,Fuerza <color=red>{0} veces</color> Mejorar,Tăng cường sức mạnh <color=red>{0} lần</color>
55,1,<color=yellow>닉네임</color> 설정,<color=yellow>Nickname</color> Settings,<color=yellow>ニックネーム</color> 設定,<color=yellow>昵称</color> 设置,<color=yellow>暱稱</color> 設定,<color=yellow>Псевдоним</color> Настройки,Paramètres <color=yellow>Surnom</color>,<color=yellow>Apodo</color> Configuración,<color=yellow>Biệt danh</color> Cài đặt
56,1,장비 제작 <color=red>{0}회</color>,Equipment production <color=red>{0} times</color>,設備生産 <color=red>{0} 回</color>,设备生产次数：0 次,設備生產次數：0 次,Производство оборудования <color=red>{0} раз</color>,Production d'équipement <color=red>{0} fois</color>,Producción de equipos <color=red>{0} veces</color>,Sản xuất thiết bị <color=red>{0} lần</color>
