index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
49,선물,gift,贈り物,礼物,禮物,подарок,cadeau,regalo,quà 
50,팀워크,teamwork,チームワーク,团队合作,團隊合作,командная работа,travail d'équipe,trabajo en equipo,làm việc nhóm
51,호흡,breathing,呼吸,呼吸,呼吸,дыхание,respiration,respiración,thở
52,그룹,group,グループ,团体,團體,группа,groupe,grupo,nhóm
53,템포,Tempo,テンポ,速度,速度,Темп,Tempo,Tempo,Nhịp độ
54,하모니,Harmony,調和,和谐,和諧,Гармония,Harmonie,Armonía,Hòa hợp
55,군무,group dance,グループダンス,集体舞蹈,集體舞蹈,групповой танец,danse de groupe,baile en grupo,nhóm nhảy
56,단채애드립,Danchae Ad-lib,ダンチェ・アドリブ,Danchae 即兴,Danchae 即興,Danchae Ad-lib,Danchae Ad-lib,Danchae Ad-lib,Danchae Ad-lib
57,팬덤,Fandom,ファンダム,粉丝圈,粉絲圈,Фандом,Fandom,Fandom,Cộng đồng người hâm mộ
58,굿즈,Goods,品,商品,商品,Товары,Marchandises,Bienes,Hàng hóa
59,보급,Supply,供給,供应,供應,Поставлять,Fournir,Suministrar,Cung cấp
60,스타일,style,スタイル,风格,風格,стиль,style,estilo,phong cách
61,리워드,Rewards,報酬,奖励,獎勵,Награды,Récompenses,Recompensas,Phần thưởng
62,럭키,Lucky,ラッキー,幸运的,幸運的,Удачливый,Chanceux,Afortunado,May mắn
63,수면,sleep,寝る,睡觉,睡覺,спать,dormir,dormir,ngủ
64,드랍더스피커,drop the speaker,スピーカーを落とす,放下扬声器,放下揚聲器,уронить динамик,Laissez tomber le haut-parleur,deja caer el altavoz,thả loa xuống
65,굿즈레인,goods rain,良い雨,货物雨,貨物雨,товары дождь,pluie de marchandises,lluvia de bienes,mưa hàng hóa
66,마이크레인,mic rain,マイクレイン,麦克风雨,麥克風雨,дождь из микрофонов,pluie de micro,lluvia de micrófonos,mưa mic
67,별빛 샤인,Starlight Shine,星明かり,星光闪耀,星光閃耀,Звездное сияние,La lumière des étoiles brille,Brillo de las estrellas,Ánh Sao Tỏa Sáng
68,스타폴,Starfall,スターフォール,星陨,星隕,Звездный дождь,Starfall,Caída de estrellas,Starfall
69,일렉트릭쇼크,Electric Shock,感電,电击,電擊,Электрический шок,Choc électrique,Descarga eléctrica,Sốc điện
70,대상 트로피,Grand Prize Trophy,グランプリトロフィー,大奖奖杯,大獎獎盃,Главный призовой кубок,Trophée du Grand Prix,Trofeo del Gran Premio,Cúp Giải Nhất
71,핑크샤워,Pink Shower,ピンクシャワー,粉红雨,粉紅雨,Розовый душ,Douche rose,Ducha rosa,Tắm Hồng
72,별 분수,Star fountain,星形の噴水,星泉,星泉,Звездный фонтан,Fontaine en forme d'étoile,Fuente de estrellas,Đài phun nước ngôi sao
73,핑크BOMB!,Pink BOMB!,ピンクボム！,粉红炸弹！,粉紅炸彈！,Розовая БОМБА!,BOMBE rose !,¡BOMBA rosa!,Bom hồng!
74,쇼크스피커,Shock speaker,ショックスピーカー,震荡扬声器,震盪揚聲器,Шоковый динамик,Haut-parleur à choc,Altavoz de choque,Loa gây sốc
75,하트빔,Heart Beam,ハートビーム,心形光束,心形光束,Луч сердца,Rayon du cœur,Rayo del corazón,Tia sáng trái tim
76,스타미사일,Star Missile,スターミサイル,星形导弹,星形飛彈,Звездная ракета,Missile Star,Misil estelar,Tên lửa sao
77,응원봉,cheering stick,応援棒,加油棒,加油棒,палочка для болельщиц,bâton d'encouragement,palo de ánimo,gậy cổ vũ
78,음표,note,注記,笔记,筆記,примечание,note,nota,ghi chú
79,넥스트하이라이트,Next Highlight,次の注目作品,下一个亮点,下一個亮點,Следующий важный момент,Prochain point saillant,Siguiente punto destacado,Điểm nổi bật tiếp theo
80,최종무대,Final stage,最終ステージ,最后阶段,最後階段,Финальный этап,Étape finale,Etapa final,Giai đoạn cuối
81,BPM폭주,BPM Frenzy,BPMフレンジー,BPM狂热,BPM狂熱,BPM Frenzy,Frénésie BPM,Frenesí de BPM,Cơn cuồng BPM
82,아이컨텍,eye contact,視線が合う,眼神交流,眼神交流,зрительный контакт,contact visuel,contacto visual,giao tiếp bằng mắt
83,입장퍼포먼스,Entrance performance,入場パフォーマンス,入场表演,入場表演,Вступительное выступление,spectacle d'entrée,Actuación de entrada,Màn trình diễn mở màn
84,앨범대박,Album hit,アルバムヒット,专辑热门歌曲,專輯熱門歌曲,Хит альбома,Album à succès,Éxito de álbum,Album thành công
85,역경극복,Overcoming adversity,逆境を乗り越える,克服逆境,克服逆境,Преодоление трудностей,Surmonter l'adversité,Superar la adversidad,Vượt qua nghịch cảnh
86,악플방지,Anti-malicious comments,悪意のあるコメントへの対策,反恶意评论,反惡意評論,Комментарии против злонамеренных высказываний,Commentaires anti-malveillants,Comentarios antimaliciosos,Bình luận chống ác ý
87,팬덤실드,Fandom Shield,ファンダムシールド,粉丝盾,粉絲盾,Щит Фандома,Bouclier du fandom,Escudo de fans,Fandom Shield
88,참,really,本当に,真的,真的,Действительно,vraiment,en realidad,Thực ra
