index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
10,근데 내구도가 있어서 실패를 많이하면 파괴되니까 조심해야해,"But it has durability, so you have to be careful because it gets destroyed if you fail too many times.",しかし耐久性があるので、何度も失敗すると壊れてしまうため、注意が必要です。,但它很耐用，所以你必须小心，因为如果失败次数过多，它就会被损坏。,但它很耐用，所以你必須小心，因為如果失敗次數太多，它就會被損壞。,"Но оно прочное, поэтому нужно быть осторожным, потому что оно разрушится, если слишком часто давать сбои.","Mais il est très résistant, il faut donc faire attention car il se détériore si l'on échoue trop souvent.","Pero es duradero, así que hay que tener cuidado porque se estropea si fallas demasiadas veces.","Nhưng nó có độ bền cao, vì vậy bạn phải cẩn thận vì nó sẽ bị hỏng nếu bạn làm hỏng quá nhiều lần."
11,하나씩 하기 불편하지 않아 ?,Isn't it inconvenient to do them one by one?,一つずつやるのは面倒じゃないですか？,一个一个地做岂不是很不方便？,一個一個做豈不是很不方便？,Разве не неудобно делать их по одному?,N'est-ce pas contraignant de les faire un par un ?,¿No resulta engorroso hacerlos uno por uno?,Làm từng cái một sẽ bất tiện lắm phải không?
12,원하는 장비만 원하는 레벨까 지 한번에 강화도 할수 있으니까. 확인만 해보자!,"Since you can enhance only the equipment you want to your desired level all at once, let's just check it out!",必要な装備だけを一度に希望のレベルまで強化できるので、早速試してみましょう！,由于您可以一次性将您想要的装备强化到所需的等级，那么让我们来看看吧！,由於您可以一次將您想要的裝備強化到所需的等級，那麼讓我們來看看吧！,"Поскольку вы можете улучшать до нужного уровня только то оборудование, которое вам нужно, давайте посмотрим!","Puisque vous pouvez améliorer uniquement l'équipement que vous souhaitez au niveau désiré en une seule fois, voyons voir !","Dado que puedes mejorar solo el equipo que quieras al nivel que desees de una sola vez, ¡vamos a echarle un vistazo!","Vì bạn có thể nâng cấp tất cả trang bị mình muốn lên cấp độ mong muốn cùng một lúc, hãy cùng xem thử nhé!"
13,그래도 걱정하지마 파괴 되면 복원을 할수있어,"But don't worry, if it gets destroyed, it can be restored.",でも心配しないでください。もし壊れてしまっても、修復できます。,但别担心，即使被毁坏了，也可以修复。,但別擔心，即使被毀壞了，也可以修復。,"Но не волнуйтесь, если оно будет разрушено, его можно восстановить.","Mais ne vous inquiétez pas, s'il est détruit, il peut être restauré.","Pero no te preocupes, si se destruye, se puede restaurar.","Nhưng đừng lo, nếu nó bị phá hủy, nó có thể được phục hồi."
14,그런데 복원이 좀 비싸다고 하던데..... 하하,But I heard the restoration is a bit expensive..... Haha,でも修復費用がちょっと高いって聞いたんだけど……（笑）,但我听说修复费用有点高……哈哈,但我聽說修復費用有點高…哈哈,"Но я слышал, что реставрация довольно дорогая... Ха-ха",Mais j'ai entendu dire que la restauration coûte un peu cher… Haha,Pero he oído que la restauración es un poco cara... Jaja,Nhưng tôi nghe nói việc phục chế khá tốn kém... Haha
15,그래도 일단 한번 해보자,But let's give it a try anyway.,でも、とにかくやってみましょう。,但无论如何，我们不妨试一试。,但無論如何，我們不妨試試看。,Но давайте все же попробуем.,Mais essayons quand même.,Pero vamos a intentarlo de todos modos.,Nhưng dù sao thì chúng ta cứ thử xem sao.
16,하나씩 입어볼수도 있는데.. <color=red>자동장착</color>으로 한번에 입어보자,You could try them on one by one... but let's try them all on at once using auto-fit.,一つずつ試着することもできますが…自動調整機能を使って一度に全部試着してみましょう。,你可以一个一个地试穿……但我们不妨使用自动适配功能一次性全部试穿。,你可以一個一個地試穿…但我們不妨使用自動適配功能一次全部試穿。,"Можно примерить их по одному... но давайте примерим все сразу, используя функцию автоматической подгонки.",Vous pourriez les essayer un par un... mais essayons-les tous en même temps grâce à l'ajustement automatique.,Podrías probártelos uno por uno... pero vamos a probárnoslos todos a la vez usando el ajuste automático.,Bạn có thể thử từng cái một... nhưng hãy thử tất cả cùng một lúc bằng chức năng tự động điều chỉnh kích cỡ.
17,아이구 무거워...,"Oh my, it's heavy...",ああ、重い…,我的天，好重啊……,我的天，好重啊…,"О боже, он такой тяжёлый...","Oh là là, c'est lourd...","¡Ay, qué pesado es!","Ôi trời, nó nặng quá..."
18,필요없는 장비들은 이제 분해해버려야겠어!,I'm going to take apart the unnecessary equipment now!,今から不要な機器を分解します！,我现在要把不必要的设备拆掉！,我現在要把不必要的設備拆掉！,Сейчас я разберу ненужное оборудование!,Je vais démonter le matériel inutile maintenant !,¡Voy a desmontar el equipo innecesario ahora!,Tôi sẽ tháo dỡ những thiết bị không cần thiết ngay bây giờ!
19,분해 하다보면 좋은 재료가 나오기도 하겠지?!,"If I keep disassembling, I might get some good materials, right?!",分解を続ければ、良い材料が手に入るかもしれないよね？！,如果我继续拆解，说不定能得到一些好材料，对吧？！,如果我繼續拆解，說不定能得到一些好材料，對吧？ ！,"Если я продолжу разбирать, то, возможно, получу какие-нибудь хорошие материалы, правда?!","Si je continue à démonter, je pourrais bien trouver de bons matériaux, non ?!","Si sigo desmontándolo, ¡quizás consiga buenos materiales, ¿verdad?!","Nếu tôi cứ tiếp tục tháo rời, biết đâu tôi sẽ tìm được vài vật liệu tốt, phải không?!"
20,강화와 마찬가지로 분해도 한번에 할수있니까.. 확인해보자!,"Just like enhancement, dismantling can be done all at once... so let's check it out!",強化と同様に、解体も一度にすべて行うことができます...それでは、確認してみましょう！,就像强化一样，拆卸也可以一次性完成……让我们来看看吧！,就像強化一樣，拆卸也可以一次完成…讓我們來看看吧！,"Как и в случае с улучшением, разборку можно выполнить за один раз... давайте посмотрим!","Tout comme l'amélioration, le démantèlement peut se faire en une seule fois... alors voyons voir !","Al igual que la mejora, el desmantelamiento se puede realizar de una sola vez... ¡así que vamos a comprobarlo!","Giống như việc nâng cấp, việc tháo dỡ cũng có thể được thực hiện cùng một lúc... vậy hãy cùng xem nhé!"
21,한가지 팁! 필요없는 장비들은 처음부터 재료로 얻을수도있어!,One tip! You can obtain unnecessary equipment as materials right from the start!,ちょっとしたコツ！不要な装備品は、最初から素材として入手できますよ！,一个小提示！你一开始就可以把一些不需要的装备当作材料来获得！,一個小提示！你一開始就可以把一些不需要的裝備當作材料來獲得！,Один совет! Вы можете получить ненужное оборудование в качестве материалов уже на самом начальном этапе!,Un petit conseil ! Vous pouvez obtenir du matériel inutile dès le début !,¡Un consejo! ¡Puedes obtener equipo innecesario como materiales desde el principio!,Một mẹo nhỏ! Bạn có thể thu thập những thiết bị không cần thiết làm nguyên liệu ngay từ đầu!
22,우리는 아이돌이니까 뭔가 화려한게 필요할거같아!,"Since we're idols, I think we need something flashy!",私たちはアイドルだから、派手なものが必要だと思う！,既然我们是偶像，我觉得我们需要一些闪亮的东西！,既然我們是偶像，我覺得我們需要一些閃亮的東西！,"Раз уж мы айдолы, думаю, нам нужно что-нибудь яркое и эффектное!","Puisque nous sommes des idoles, je pense qu'il nous faut quelque chose de tape-à-l'œil !","Como somos ídolos, ¡creo que necesitamos algo llamativo!","Vì chúng ta là thần tượng, tôi nghĩ chúng ta cần một thứ gì đó thật nổi bật!"
23,이참에 스킬을 얻어보자고,Let's take this opportunity to get a skill.,この機会にスキルを身につけましょう。,让我们借此机会学习一项技能。,讓我們藉此機會學習一項技能。,"Давайте воспользуемся этой возможностью, чтобы приобрести какой-нибудь навык.",Saisissons cette occasion pour acquérir une compétence.,Aprovechemos esta oportunidad para adquirir una nueva habilidad.,Hãy tận dụng cơ hội này để học một kỹ năng.
24,스킬을 장착하면 적들을 더 빠르고 화려하게 제거할수있어,"If you equip skills, you can eliminate enemies faster and more spectacularly.",スキルを装備すれば、敵をより速く、より華麗に倒すことができます。,装备技能后，你可以更快、更精彩地消灭敌人。,裝備技能後，你可以更快、更精彩地消滅敵人。,"Если вы используете навыки, вы сможете уничтожать врагов быстрее и эффектнее.","En vous équipant de compétences, vous pourrez éliminer vos ennemis plus rapidement et de façon plus spectaculaire.","Si equipas ciertas habilidades, podrás eliminar a los enemigos más rápido y de forma más espectacular.","Nếu trang bị kỹ năng, bạn có thể tiêu diệt kẻ thù nhanh hơn và ngoạn mục hơn."
25,이게 뭔소리지!!,What on earth does that mean!!,それは一体どういう意味ですか！？,这到底是什么意思？！,這到底是什麼意思？ ！,Что это вообще значит?!,"Mais qu'est-ce que ça veut dire, au juste ?!",¡¿Qué demonios significa eso?!,Điều đó có nghĩa là gì vậy!!
26,적들이 숨어있는 던전이 열렸데 어서 퇴치하러 가자!,They say a dungeon where enemies are hiding has opened. Let's hurry and go defeat them!,敵が潜んでいるダンジョンが開いたらしい。急いで行って敵を倒そう！,据说一个藏有敌人的地牢已经开启。我们快去打败他们吧！,據說一個藏有敵人的地牢已經開啟。我們快去打敗他們吧！,"Говорят, открылось подземелье, где прячутся враги. Давайте скорее отправимся и победим их!",On dit qu'un donjon où se cachent des ennemis s'est ouvert. Allons-y vite pour les vaincre !,Dicen que se ha abierto una mazmorra donde se esconden enemigos. ¡Date prisa y derrotémoslos!,Nghe nói một hầm ngục nơi kẻ thù đang ẩn náu đã mở cửa. Mau lên và tiêu diệt chúng thôi!
27,던전에서 얻은 전리품을 이용해서 더 강해져보자,Let's get stronger by using the loot obtained from the dungeon.,ダンジョンで手に入れた戦利品を使って、もっと強くなろう。,让我们利用从地牢中获得的战利品来变强。,讓我們利用從地牢中獲得的戰利品來變強。,"Давайте станем сильнее, используя добычу, полученную в подземелье.",Utilisons le butin obtenu dans le donjon pour devenir plus forts.,Vamos a hacernos más fuertes usando el botín obtenido en la mazmorra.,Hãy trở nên mạnh mẽ hơn bằng cách sử dụng chiến lợi phẩm thu được từ hầm ngục.
28,이제 솔로는 외로워.... 팀원들을 모아서 그룹으로 활동을 해보는거는 어때?,Being single is lonely now.... How about gathering team members and trying to perform as a group?,独身でいるのは寂しいものだ…。チームメンバーを集めて、グループとして活動してみるのはどうだろう？,现在单身真寂寞……不如召集团队成员，尝试团队合作吧？,現在單身真寂寞…不如召集團隊成員，試試團隊合作吧？,Быть одиноким сейчас очень тяжело... А что если собрать команду и попробовать выступить вместе?,"Être célibataire, c'est dur de se sentir seul… Et si on réunissait des coéquipiers et qu'on essayait de performer en groupe ?",Estar soltero es solitario ahora... ¿Qué tal si reunimos a los miembros del equipo e intentamos actuar como grupo?,Sống độc thân bây giờ thật cô đơn... Sao không tập hợp các thành viên trong nhóm và thử biểu diễn cùng nhau?
29,그럼 팀원을 얻으러 가보자!,Then let's go recruit some team members!,それでは、チームメンバーを募集しましょう！,那我们就去招募一些团队成员吧！,那我們就去招募一些團隊成員吧！,Тогда давайте наберем в команду новых членов!,Alors allons recruter des membres d'équipe !,¡Entonces vamos a reclutar algunos miembros para el equipo!,Vậy thì chúng ta hãy đi tuyển thêm thành viên cho đội nào!
30,이제 다양한 동료들과 힘을 합쳐서 적들을 무찔러보자!,"Now, let's join forces with various companions to defeat the enemies!",さあ、様々な仲間たちと力を合わせて敵を倒そう！,现在，让我们与各种伙伴并肩作战，击败敌人吧！,現在，讓我們與各種夥伴並肩作戰，擊敗敵人吧！,"Теперь давайте объединим усилия с различными товарищами, чтобы победить врагов!","Maintenant, unissons nos forces à celles de divers compagnons pour vaincre les ennemis !","¡Ahora, unamos fuerzas con varios compañeros para derrotar a los enemigos!",Giờ hãy cùng hợp lực với các đồng đội để đánh bại kẻ thù!
31,나만 아니라 우리 동료들도 강해지면 팬들이 더 좋아하겠지 ?,"If not only I but also my colleagues get stronger, the fans will like it even more, right?",私だけでなく、同僚たちも強くなれば、ファンの方々はもっと喜んでくれるでしょう？,如果不仅我，我的同事们也变得更强，粉丝们会更加喜欢，对吧？,如果不只我，我的同事也變得更強，粉絲們會更喜歡，對吧？,"Если не только я, но и мои коллеги станем сильнее, это ещё больше понравится фанатам, правда?","Si non seulement moi mais aussi mes collègues devenons plus forts, les fans apprécieront encore plus, n'est-ce pas ?","Si no solo yo, sino también mis compañeros, nos hacemos más fuertes, a los fans les gustará aún más, ¿verdad?","Nếu không chỉ tôi mà cả các đồng nghiệp của tôi đều trở nên mạnh mẽ hơn, người hâm mộ sẽ càng thích điều đó hơn, phải không?"
32,동료들을 합성하면 더 좋은 동료들이 된다는데?,"I heard that if you combine colleagues, they become better colleagues?",同僚同士を組み合わせると、より良い同僚になるという話を聞いたのですが？,我听说如果同事们聚在一起，他们会成为更好的同事？,我聽說如果同事們聚在一起，他們會成為更好的同事？,"Я слышал, что если объединить коллег, они станут лучшими коллегами?","J'ai entendu dire que si l'on combine les efforts de collègues, ils deviennent de meilleurs collègues ?","¿He oído que si juntas a unos compañeros de trabajo, se convierten en mejores compañeros?","Tôi nghe nói rằng nếu kết hợp các đồng nghiệp với nhau, họ sẽ trở thành những đồng nghiệp tốt hơn?"
33,그럼 이제 팬들에게 더 좋은 노래와 춤을 보여줄수있는거야!?,So now you can show the fans even better songs and dances!?,これでファンにもっと素晴らしい歌とダンスを見せられるんですね！？,所以现在你可以向粉丝们展示更精彩的歌曲和舞蹈了！？,所以現在你可以向粉絲們展示更精彩的歌曲和舞蹈了！ ？,Теперь вы можете показать фанатам ещё лучшие песни и танцы!?,Vous pouvez donc maintenant montrer aux fans des chansons et des danses encore meilleures !?,¿Así que ahora podéis mostrar a los fans canciones y bailes aún mejores?,Vậy là giờ bạn có thể trình diễn cho người hâm mộ những bài hát và điệu nhảy hay hơn nữa rồi phải không!?
34,열심히 세상을 지키다보니 뭔가 꿈틀거리는데,"As I worked hard to protect the world, something started stirring.",私が世界を守るために懸命に努力する中で、何かが動き始めた。,当我努力保护世界的时候，一些事情开始悄然发生。,當我努力保護世界的時候，有些事情開始悄悄發生。,"Пока я усердно трудился, защищая мир, что-то начало меняться.","Alors que je travaillais dur pour protéger le monde, quelque chose a commencé à se manifester.","Mientras trabajaba arduamente para proteger al mundo, algo comenzó a agitarse.","Trong lúc tôi nỗ lực bảo vệ thế giới, một điều gì đó bắt đầu trỗi dậy."
35,이 힘을 해방하러가야겠어!,I have to go unleash this power!,この力を解き放たなければ！,我必须释放这种力量！,我必須釋放這種力量！,Мне нужно высвободить эту силу!,Je dois libérer cette puissance !,¡Tengo que ir a desatar este poder!,Tôi phải giải phóng sức mạnh này!
36,역시 우리는 이제 더 강해진거 같은데 확인을 해보자고,It seems we’ve really gotten stronger. Let’s check it out.,私たちは本当に強くなったようですね。確認してみましょう。,看来我们确实变得更强了。让我们来验证一下。,看來我們確實變得更強了。讓我們來驗證一下。,"Похоже, мы действительно стали сильнее. Давайте проверим.",Il semblerait que nous soyons devenus bien plus forts. Voyons voir.,Parece que nos hemos vuelto realmente más fuertes. Vamos a comprobarlo.,Có vẻ như chúng ta đã thực sự mạnh mẽ hơn. Hãy cùng kiểm tra xem sao.
37,열심히 장비들을 버리기는 아까운데.... 무슨 방법이 없나?,It feels like a waste to throw away all this equipment... Is there any way around this?,これだけの機材を捨てるのはもったいない気がするのですが…何か良い方法はないでしょうか？,把这些设备都扔掉感觉好浪费……有没有什么办法可以补救？,把這些設備都丟掉感覺好浪費……有沒有辦法補救？,"Кажется, выбрасывать всё это оборудование — пустая трата денег... Есть ли какой-нибудь выход из этой ситуации?",Jeter tout ce matériel me semble un vrai gâchis... Y a-t-il une solution ?,Me parece un desperdicio tirar todo este equipo... ¿Hay alguna manera de evitarlo?,Thật lãng phí khi phải vứt bỏ tất cả thiết bị này... Có cách nào khác không?
38,각인을 해보라고? 장비를 각인시켜서 능력치를 계속해서 적용받을 수 있어!,You want me to try engraving? You can engrave your equipment to continuously receive stat boosts!,彫刻を試してみたいってこと？装備に彫刻を施せば、継続的にステータスが上昇するよ！,你想让我试试铭刻吗？你可以给你的装备铭刻，持续获得属性提升！,你想讓我試試銘刻嗎？你可以給你的裝備銘刻，持續獲得屬性提升！,"Хотите, я попробую гравировку? Вы можете гравировать своё снаряжение, чтобы постоянно получать бонусы к характеристикам!",Tu veux que j'essaie la gravure ? Tu peux graver ton équipement pour recevoir des bonus de statistiques en continu !,¿Quieres que pruebe a grabar? ¡Puedes grabar tu equipo para recibir mejoras de estadísticas continuamente!,Bạn muốn tôi thử khắc à? Bạn có thể khắc lên trang bị của mình để liên tục nhận được các chỉ số tăng cường!
39,그러면 좋은 장비들을 계속 가지고 있어야겠는걸..,Then I guess I should keep good equipment...,それなら、良い機材を揃えておくべきだろうな…。,那看来我应该好好保养装备了……,那看來我應該要好好保養裝備了…,"Тогда, наверное, мне следует иметь хорошее оборудование...",Alors je suppose que je devrais conserver du bon matériel...,Entonces supongo que debería mantener un buen equipo...,Vậy thì chắc tôi nên giữ gìn trang thiết bị thật tốt...
40,이제 우리도 글로벌 스타가 되서 많은 팬들의 응원을 받고싶은데..,Now we also want to become global stars and receive support from many fans...,今度は私たちも世界的なスターになり、多くのファンからの応援を受けたいと思っています。,现在我们也想成为全球明星，获得众多粉丝的支持……,現在我們也想成為全球明星，獲得許多粉絲的支持…,Теперь мы тоже хотим стать мировыми звездами и получить поддержку от множества поклонников...,Nous voulons maintenant devenir des stars internationales et recevoir le soutien de nombreux fans...,Ahora también queremos convertirnos en estrellas mundiales y recibir el apoyo de muchos fans...,Giờ đây chúng tôi cũng muốn trở thành những ngôi sao toàn cầu và nhận được sự ủng hộ từ nhiều người hâm mộ...
41,이제 많은 팬들을 만나는 <color=red>월드투어</color>를 가보자!,"Now, let's go on the <color=red>World Tour</color> to meet many fans!",さあ、たくさんのファンに会いに、<color=red>ワールドツアー</color>に出かけましょう！,现在，让我们开启<color=red>世界巡回演唱会</color>，去和众多粉丝见面吧！,現在，讓我們開啟<color=red>世界巡迴演唱會</color>，去和眾多粉絲見面吧！,"А теперь давайте отправимся в <color=red>мировое турне</color>, чтобы встретиться со множеством поклонников!","Maintenant, partons pour la <color=red>Tournée mondiale</color> pour rencontrer de nombreux fans !","¡Ahora, emprendamos la <color=red>Gira Mundial</color> para conocer a muchos fans!",Giờ thì cùng bắt đầu chuyến <color=red>Vòng quanh thế giới</color> để gặp gỡ thật nhiều người hâm mộ nhé!
42,팬들의 응원을 받으니 힘이 더 강해지는거 같은데?!,It feels like I'm getting stronger with the fans' support!,ファンの皆さんの応援のおかげで、自分がどんどん強くなっているように感じます！,感觉有了粉丝们的支持，我变得越来越强大了！,感覺有了粉絲們的支持，我變得越來越強大了！,"Я чувствую, что становлюсь сильнее благодаря поддержке фанатов!",J'ai l'impression de devenir plus fort grâce au soutien des fans !,¡Siento que me estoy haciendo más fuerte gracias al apoyo de los fans!,Tôi cảm thấy mình ngày càng mạnh mẽ hơn nhờ sự ủng hộ của người hâm mộ!
43,뭔가 나의 잠재능력이 활성화되는거같아!,I feel like my potential is being activated!,自分の潜在能力が開花しているように感じます！,我感觉我的潜力正在被激发出来！,我感覺我的潛力正在被激發出來！,"Я чувствую, что мой потенциал раскрывается!",J'ai l'impression que mon potentiel est en train de se révéler !,¡Siento que mi potencial se está activando!,Tôi cảm thấy tiềm năng của mình đang được khơi dậy!
44,아이돌은 자고로 화려해야하는법 ,Idols are meant to be glamorous.,アイドルは華やかであるべきだ。,偶像就应该光鲜亮丽。,偶像就應該光鮮亮麗。,Идолы должны быть гламурными.,Les idoles sont censées être glamour.,Se supone que los ídolos deben ser glamorosos.,Thần tượng phải thật lộng lẫy.
45,그때 가장 중요한거는 역시 보석이지! 보석을 뽑아보자고,The most important thing right then is definitely the gem! Let's try picking a gem.,今のところ一番重要なのは、間違いなく宝石です！さあ、宝石を選んでみましょう。,现在最重要的当然是宝石啦！我们来试着挑选一颗宝石吧。,現在最重要的當然是寶石啦！我們來試著挑選一顆寶石吧。,"Самое важное в этот момент — это, безусловно, драгоценный камень! Давайте попробуем выбрать камень.","Le plus important, à ce stade, c'est sans aucun doute la pierre précieuse ! Essayons d'en choisir une.",¡Lo más importante ahora mismo es sin duda la gema! Intentemos elegir una gema.,Điều quan trọng nhất lúc này chắc chắn là viên đá quý! Hãy thử chọn một viên đá quý xem sao.
46,보석에는 숨겨진 힘이 있는거 같아! 보석을 껴보자고,It seems like gems have hidden power! Let's try wearing them.,宝石には秘めた力があるみたい！身につけてみよう。,宝石似乎蕴藏着某种力量！我们试试佩戴它们吧。,寶石似乎蘊藏著某種力量！我們試試看戴它們吧。,"Похоже, драгоценные камни обладают скрытой силой! Давайте попробуем их носить.",Il semblerait que les pierres précieuses possèdent un pouvoir caché ! Essayons d'en porter.,¡Parece que las gemas tienen poderes ocultos! Probemos a usarlas.,Có vẻ như đá quý tiềm ẩn sức mạnh! Hãy thử đeo chúng xem sao.
47,보석을 우리가 원하는대로 강화를 해보자!,Let's enhance the gems the way we want!,宝石を思い通りに強化しよう！,让我们按照自己的想法来美化这些宝石吧！,讓我們按照自己的想法來美化這些寶石吧！,"Давайте улучшим драгоценные камни так, как нам хочется!",Mettons en valeur ces joyaux comme nous le souhaitons !,¡Realcemos las gemas a nuestro gusto!,Hãy cùng nhau nâng tầm những viên đá quý theo cách chúng ta muốn!
48,흠 잠재능력을 바꿀 수 있다고? 그럼 나는 더욱 더 강해질래!,"Hmm, you say you can change your potential? Then I'll become even stronger!",ふむ、自分の潜在能力を変えられるって？ ならば、私はもっと強くなるぞ！,嗯，你说你可以改变你的潜能？那我就要变得更强！,嗯，你說你可以改變你的潛能？那我就要變得更強！,"Хм, ты говоришь, что можешь изменить свой потенциал? Тогда я стану ещё сильнее!","Hmm, tu dis que tu peux changer ton potentiel ? Alors je deviendrai encore plus fort !","Hmm, ¿dices que puedes cambiar tu potencial? ¡Entonces me volveré aún más fuerte!","Ừm, bạn nói rằng bạn có thể thay đổi tiềm năng của mình à? Vậy thì tôi sẽ trở nên mạnh mẽ hơn nữa!"
49,적들이 끊임 없이 쳐들어오는데 ? 원천을 봉쇄할 필요가 있겠어!,The enemies are attacking endlessly? We'll need to blockade the source!,敵は容赦なく攻撃してくるのか？攻撃の源を封鎖する必要がある！,敌人进攻没完没了？我们必须封锁他们的攻击源头！,敵人進攻沒完沒了？我們必須封鎖他們的攻擊源頭！,Враги атакуют без остановки? Нам нужно заблокировать источник!,Les ennemis attaquent sans cesse ? Il va falloir bloquer la source !,¿Los enemigos atacan sin cesar? ¡Tendremos que bloquear la fuente!,Kẻ thù liên tục tấn công? Chúng ta cần phải phong tỏa nguồn tấn công!
