index,type,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
10,1,동료 스킬 쿨타임 <color=red>{0}%</color> 감소,Reduce companion skill cooldown by <color=red>{0}%</color>,コンパニオンスキルのクールダウンを<color=red>{0}%</color>短縮します。,减少伙伴技能冷却时间 <color=red>{0}%</color>,減少夥伴技能冷卻時間 <color=red>{0}%</color>,Уменьшить время восстановления навыков компаньона на <color=red>{0}%</color>,Réduit le temps de recharge des compétences de compagnon de <color=red>{0}%</color>,Reduce el tiempo de reutilización de la habilidad del compañero en <color=red>{0}%</color>,Giảm thời gian hồi chiêu kỹ năng đồng hành xuống <color=red>{0}%</color>
11,2,<color=yellow>{0}초</color> 동안 회피 <color=red>{1}%</color> 증가,Increase evasion by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,回避率を<color=red>{1}%</color>増加させる（<color=yellow>{0}秒間）,闪避率提高<color=red>{1}%</color>，持续<color=yellow>{0}秒</color>。,閃避率提高<color=red>{1}%</color>，持續<color=yellow>{0}秒</color>。,Увеличьте уклонение на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmente l'évasion de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumenta la evasión en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng khả năng né tránh lên <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
12,2,<color=yellow>{0}초</color> 동안 재료획득량 <color=red>{1}%</color> 증가,Increase material acquisition amount by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,資材の取得量を<color=red>{1}%</color>増加させ、<color=yellow>{0}秒間</color>します。,将物料采购量增加<color=red>{1}%</color>，持续<color=yellow>{0}秒</color>。,將物料採購量增加<color=red>{1}%</color>，持續<color=yellow>{0}秒</color>。,Увеличьте количество приобретаемого материала на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmenter la quantité de matériaux acquis de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumentar la cantidad de adquisición de material en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng lượng nguyên liệu mua thêm <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
13,2,<color=yellow>{0}초</color> 동안 골드획득량 <color=red>{1}%</color> 증가,Increase gold acquisition by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,金の獲得量を<color=red>{1}%</color>増加させる（<color=yellow>{0}秒間）,增加黄金获取量 <color=red>{1}%</color>，持续 <color=yellow>{0} 秒</color>,增加黃金獲取量 <color=red>{1}%</color>，持續 <color=yellow>{0} 秒</color>,Увеличьте добычу золота на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmentez l'acquisition d'or de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumenta la adquisición de oro en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng lượng vàng thu được thêm <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
14,1,모든 동료 공격력의 <color=red>{0}%</color>의 피해를 주는 망치를 소환,Summon a hammer that deals <color=red>{0}%</color> of all allies' attack power as damage.,味方全員の攻撃力の<color=red>{0}%</color>をダメージとして与えるハンマーを召喚します。,召唤一把锤子，对所有友军攻击力造成<color=red>{0}%</color>的伤害。,召喚一把錘子，對所有友軍攻擊力造成<color=red>{0}%</color>的傷害。,"Призывает молот, который наносит <color=red>{0}%</color> урона от силы атаки всех союзников.",Invoque un marteau qui inflige des dégâts équivalents à <color=red>{0}%</color> de la puissance d'attaque de tous les alliés.,Invoca un martillo que inflige <color=red>{0}%</color> del poder de ataque de todos los aliados como daño.,Triệu hồi một cây búa gây sát thương bằng <color=red>{0}%</color> sức tấn công của tất cả đồng minh.
15,2,<color=yellow>{0}초</color> 동안 공격속도 <color=red>{1}%</color> 증가,Increase attack speed by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,攻撃速度を<color=red>{1}%</color>増加させ、<color=yellow>{0}秒間</color>します。,攻击速度提高 1%，持续 0 秒。,攻擊速度提高 1%，持續 0 秒。,Увеличьте скорость атаки на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmente la vitesse d'attaque de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumenta la velocidad de ataque en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng tốc độ tấn công lên <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
16,2,<color=yellow>{0}초</color> 동안 치명타피해 <color=red>{1}%</color> 증가,Increase critical damage by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,クリティカルダメージを<color=red>{1}%</color>増加させる（<color=yellow>{0}秒間）,暴击伤害提高 1%，持续 0 秒。,暴擊傷害提高 1%，持續 0 秒。,Увеличивает критический урон на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmente les dégâts critiques de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumenta el daño crítico en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng sát thương chí mạng lên <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
17,2,<color=yellow>{0}초</color> 동안 치명타확률 <color=red>{1}%</color> 증가,Increase Critical Hit Chance by <color=red>{1}%</color> for <color=yellow>{0} seconds</color>,クリティカルヒット率を<color=red>{1}%</color>増加させ、<color=yellow>{0}秒間</color>します。,暴击几率提高<color=red>{1}%</color>，持续<color=yellow>{0}秒</color>。,爆擊幾率提高<color=red>{1}%</color>，持續<color=yellow>{0}秒</color>。,Увеличивает шанс критического удара на <color=red>{1}%</color> на <color=yellow>{0} секунд</color>,Augmente les chances de coup critique de <color=red>{1}%</color> pendant <color=yellow>{0} secondes</color>,Aumenta la probabilidad de golpe crítico en un <color=red>{1}%</color> durante <color=yellow>{0} segundos</color>,Tăng Tỷ lệ Chí mạng lên <color=red>{1}%</color> trong <color=yellow>{0} giây</color>
18,3,전투 시작시 <color=yellow>{1}</color>초간 이동속도 <color=red>{0}%</color> 증가,"At the start of combat, movement speed increases by <color=red>{0}%</color> for <color=yellow>{1}</color> seconds",戦闘開始時、移動速度が<color=red>{0}%</color>増加し、<color=yellow>{1}</color>秒間続きます。,战斗开始时，移动速度提高<color=red>{0}%</color>，持续<color=yellow>{1}</color>秒。,戰鬥開始時，移動速度提高<color=red>{0}%</color>，持續<color=yellow>{1}</color>秒。,В начале боя скорость передвижения увеличивается на <color=red>{0}%</color> на <color=yellow>{1}</color> секунд,"Au début du combat, la vitesse de déplacement augmente de <color=red>{0}%</color> pendant <color=yellow>{1}</color> secondes","Al comienzo del combate, la velocidad de movimiento aumenta en <color=red>{0}%</color> durante <color=yellow>{1}</color> segundos.","Khi bắt đầu giao tranh, tốc độ di chuyển tăng lên <color=red>{0}%</color> trong <color=yellow>{1}</color> giây"
19,3,<color=yellow>{1}</color>초간 골드 획득량 <color=red>{0}%</color> 증가,<color=yellow>{1}</color>Increase Gold Acquisition Per Second <color=red>{0}%</color>,<color=yellow>{1}</color>1秒あたりのゴールド獲得量を増加させる <color=red>{0}%</color>,<color=yellow>{1}</color>提高每秒金币获取量 <color=red>{0}%</color>,<color=yellow>{1}</color>提高每秒金幣獲取量 <color=red>{0}%</color>,<color=yellow>{1}</color>Увеличить добычу золота в секунду <color=red>{0}%</color>,<color=yellow>{1}</color>Augmenter l'acquisition d'or par seconde <color=red>{0}%</color>,<color=yellow>{1}</color>Aumentar la adquisición de oro por segundo <color=red>{0}%</color>,<color=yellow>{1}</color>Tăng lượng vàng thu được mỗi giây <color=red>{0}%</color>
20,2, 전방의 <color=yellow>{1}</color>번째 적까지 펌프를 소환하여 공격력의 <color=red>{0}%</color> 피해를 줍니다.,"Summons a pump up to the <color=yellow>{1}</color>th enemy in front, dealing <color=red>{0}%</color> of attack power damage.",前方の<color=yellow>{1}</color>番目の敵にポンプを召喚し、攻撃力の<color=red>{0}%</color>のダメージを与えます。,召唤一个泵到前方第 1 个敌人处，造成攻击力的 0% 伤害。,召喚一個泵到前方第 1 個敵人處，造成攻擊力的 0% 傷害。,"Призывает насос к <color=yellow>{1}</color>-му врагу впереди, нанося <color=red>{0}%</color> урона от силы атаки.","Invoque une pompe vers le <color=yellow>{1}</color>ème ennemi devant, infligeant <color=red>{0}%</color> de dégâts de puissance d'attaque.","Invoca una bomba hasta el <color=yellow>{1}</color>enemigo que esté enfrente, infligiendo <color=red>{0}%</color> de daño de poder de ataque.","Triệu hồi một đòn tấn công lên kẻ địch thứ <color=yellow>{1}</color>phía trước, gây sát thương bằng <color=red>{0}%</color> sức tấn công."
21,2, <color=yellow>{1}</color>번의 일격을 가해서 공격력의 <color=red>{0}%</color> 피해를 줍니다.,Delivers a strike that deals <color=yellow>{1}</color>% of your attack power as damage.,攻撃力の<color=yellow>{1}</color>%のダメージを与える一撃を繰り出します。,造成相当于你攻击力1%的伤害。,造成相當於你攻擊力1%的傷害。,"Наносит удар, который причиняет <color=yellow>{1}</color>% от вашей силы атаки в виде урона.",Inflige une frappe qui inflige <color=yellow>{1}</color>% de votre puissance d'attaque en dégâts.,Realiza un golpe que inflige un <color=yellow>{1}</color>% de tu poder de ataque como daño.,Tung ra một đòn tấn công gây sát thương bằng <color=yellow>{1}</color>% sức tấn công của bạn.
22,2,토네이도를 <color=yellow>{1}개</color> 생성하여 임의의 적에게 공격력의 <color=red>{0}%</color> 피해를 줍니다.,Creates <color=yellow>{1} tornadoes</color> dealing <color=red>{0}%</color> of attack power damage to a random enemy.,ランダムな敵に攻撃力の0%のダメージを与える<color=yellow>{1}個の竜巻</color>を生成します。,制造<color=yellow>{1}个龙卷风</color>，对随机敌人造成<color=red>{0}%</color>点攻击力伤害。,製造<color=yellow>{1}個龍捲風</color>，對隨機敵人造成<color=red>{0}%</color>點攻擊力傷害。,"Создает <color=yellow>{1} торнадо</color>, наносящих <color=red>{0}%</color> урона от силы атаки случайному врагу.",Crée <color=yellow>{1} tornades</color> infligeant <color=red>{0}%</color> de dégâts de puissance d'attaque à un ennemi aléatoire.,Crea <color=yellow>{1} tornados</color> que infligen <color=red>{0}%</color> de daño de poder de ataque a un enemigo aleatorio.,Tạo ra <color=yellow>{1} cơn lốc xoáy</color> gây sát thương bằng <color=red>{0}%</color> sức tấn công cho một kẻ địch ngẫu nhiên.
23,1,잃은 체력에 비례해서 최종피해랑 <color=red>{0}%</color> 증가\n<color=red>[상시적용]</color>,Final damage and <color=red>{0}%</color> increase proportionally to lost HP\n<color=red>[Always applied]</color>,最終ダメージと<color=red>{0}%</color>は、失われたHPに比例して増加します\n<color=red>[常に適用されます]</color>,最终伤害和<color=red>{0}%</color>会根据损失的生命值成比例增加\n<color=red>[始终生效]</color>,最終傷害和<color=red>{0}%</color>會根據損失的生命值成比例增加\n<color=red>[始終生效]</color>,Итоговый урон и <color=red>{0}%</color> увеличиваются пропорционально потерянным HP\n<color=red>[Применяется всегда]</color>,Les dégâts finaux et <color=red>{0}%</color> augmentent proportionnellement aux PV perdus\n<color=red>[Toujours appliqué]</color>,El daño final y el <color=red>{0}%</color> aumentan proporcionalmente a los PV perdidos\n<color=red>[Siempre aplicado]</color>,Sát thương cuối cùng và mức tăng <color=red>{0}%</color> tỷ lệ thuận với lượng HP đã mất\n<color=red>[Luôn được áp dụng]</color>
24,1,레이저를 발사하여 공격력의 <color=red>{0}%</color> 피해를 줍니다.,Fires a laser to deal <color=red>{0}%</color> of attack power damage.,レーザーを発射して、攻撃力の<color=red>{0}%</color>のダメージを与えます。,发射激光造成攻击力的<color=red>{0}%</color>点伤害。,發射雷射造成攻擊力的<color=red>{0}%</color>點傷害。,"Выпускает лазер, наносящий <color=red>{0}%</color> урона от силы атаки.",Tire un laser infligeant <color=red>{0}%</color> de dégâts de puissance d'attaque.,Dispara un láser para infligir <color=red>{0}%</color> de daño de poder de ataque.,Bắn tia laser gây sát thương bằng <color=red>{0}%</color> sức tấn công.
25,3, <color=yellow>{1}</color>초간 체력의 <color=red>{0}%</color>의 쉴드를 만듭니다.,Creates a shield of <color=yellow>{1}</color>% of your health for 1 second.,1秒間、体力の<color=yellow>{1}</color>%のシールドを作成します。,生成一个相当于你生命值1%的护盾，持续1秒。,生成一個相當於你生命值1%的護盾，持續1秒。,Создает щит в размере <color=yellow>{1}</color>% от вашего здоровья на 1 секунду.,Crée un bouclier de <color=yellow>{1}</color>% de votre santé pendant 1 seconde.,Crea un escudo del <color=yellow>{1}</color>% de tu salud durante 1 segundo.,Tạo một lớp khiên bảo vệ bằng 1% lượng máu của bạn trong 1 giây.
26,3,<color=yellow>{1}초</color> 동안 공격속도 <color=red>{0}%</color> 증가,Increase attack speed by <color=red>{0}%</color> for <color=yellow>{1} sec</color>,攻撃速度を<color=red>{0}%</color>増加させ、<color=yellow>{1}秒間</color>,攻击速度提高 <color=red>{0}%</color>，持续 <color=yellow>{1} 秒</color>。,攻擊速度提高 <color=red>{0}%</color>，持續 <color=yellow>{1} 秒</color>。,Увеличьте скорость атаки на <color=red>{0}%</color> на <color=yellow>{1} сек</color>,Augmente la vitesse d'attaque de <color=red>{0}%</color> pendant <color=yellow>{1} sec</color>,Aumenta la velocidad de ataque en <color=red>{0}%</color> durante <color=yellow>{1} seg</color>,Tăng tốc độ tấn công lên <color=red>{0}%</color> trong <color=yellow>{1} giây</color>
27,3, <color=yellow>{1}</color>초 동안 공격력의 <color=red>{0}%</color> 피해를주는 에너지파를 발사하는 스피커를 생성,Creates a speaker that fires an energy wave dealing <color=red>{0}%</color> of attack power damage for <color=yellow>{1}</color> seconds,スピーカーを生成し、<color=red>{0}</color>の攻撃力ダメージを<color=yellow>{1}</color>秒間与えるエネルギー波を発射します。,生成一个扬声器，发射能量波，造成持续 1 秒的 <color=red>{0}%</color> 攻击力伤害。,產生一個揚聲器，發射能量波，造成持續 1 秒的 <color=red>{0}%</color> 攻擊力傷害。,"Создаёт динамик, который выпускает энергетическую волну, наносящую <color=red>{0}%</color> урона от силы атаки в течение <color=yellow>{1}</color> секунд",Crée un haut-parleur qui émet une onde d'énergie infligeant <color=red>{0}%</color> des dégâts de puissance d'attaque pendant <color=yellow>{1}</color> secondes,Crea un altavoz que dispara una onda de energía que inflige <color=red>{0}%</color> de daño de poder de ataque durante <color=yellow>{1}</color> segundos,Tạo ra một chiếc loa phát ra sóng năng lượng gây sát thương bằng <color=red>{0}%</color> sức tấn công trong <color=yellow>{1}</color> giây
28,3,<color=yellow>{1}초</color> 동안 치명타 확률 <color=red>{0}%</color> 증가,Increase Critical Hit Chance by <color=red>{0}%</color> for <color=yellow>{1} seconds</color>,クリティカルヒット率を<color=red>{0}%</color>増加させ、<color=yellow>{1}秒間</color>します。,暴击几率提高<color=red>{0}%</color>，持续<color=yellow>{1}秒</color>。,爆擊幾率提高<color=red>{0}%</color>，持續<color=yellow>{1}秒</color>。,Увеличивает шанс критического удара на <color=red>{0}%</color> на <color=yellow>{1} секунд</color>,Augmente les chances de coup critique de <color=red>{0}%</color> pendant <color=yellow>{1} secondes</color>,Aumenta la probabilidad de golpe crítico en un <color=red>{0}%</color> durante <color=yellow>{1} segundos</color>,Tăng Tỷ lệ chí mạng lên <color=red>{0}%</color> trong <color=yellow>{1} giây</color>
29,3,<color=yellow>{1}초</color> 동안 최종 피해량 <color=red>{0}%</color> 증가,Increase final damage by <color=red>{0}%</color> for <color=yellow>{1} sec</color>,最終ダメージを<color=red>{0}%</color>増加させ、<color=yellow>{1}秒間</color>します。,最终伤害提高 <color=red>{0}%</color>，持续 <color=yellow>{1} 秒</color>。,最終傷害提高 <color=red>{0}%</color>，持續 <color=yellow>{1} 秒</color>。,Увеличьте итоговый урон на <color=red>{0}%</color> на <color=yellow>{1} сек</color>,Augmente les dégâts finaux de <color=red>{0}%</color> pendant <color=yellow>{1} sec</color>,Aumenta el daño final en <color=red>{0}%</color> durante <color=yellow>{1} seg</color>,Tăng sát thương cuối cùng thêm <color=red>{0}%</color> trong <color=yellow>{1} giây</color>
30,1,공격력의 <color=red>{0}%</color> 피해를 주는 하트빔을 6발 발사합니다.,Fires 6 heart beams dealing <color=red>{0}%</color> of attack power damage.,攻撃力の<color=red>{0}%</color>のダメージを与えるハートビームを6本発射します。,发射6道心形光束，造成攻击力的<color=red>{0}%</color>点伤害。,發射6顆心型光束，造成攻擊力的<color=red>{0}%</color>點傷害。,"Выпускает 6 лучей сердца, наносящих <color=red>{0}%</color> урона от силы атаки.",Tire 6 rayons de cœur infligeant <color=red>{0}%</color> de dégâts de puissance d'attaque.,Dispara 6 rayos de corazón que infligen <color=red>{0}%</color> de daño de poder de ataque.,Bắn ra 6 tia sáng hình trái tim gây sát thương bằng <color=red>{0}%</color> sức tấn công.
31,2,굿즈를 떨어트려 공격력의 <color=red>{0}%</color>의 피해를 <color=yellow>{1}회</color> 줍니다.,Drops goods to deal <color=red>{0}%</color> of attack power damage <color=yellow>{1} times</color>.,攻撃力の<color=red>{0}</color>%のダメージを<color=yellow>{1}回</color>与えるアイテムをドロップします。,掉落物品造成<color=red>{0}%</color>次攻击力伤害。,掉落物品造成<color=red>{0}%</color>次攻擊力傷害。,"Выпадает предмет, наносящий <color=red>{0}%</color> урона от силы атаки <color=yellow>{1} раз</color>.",Lâche des marchandises pour infliger <color=red>{0}%</color> de dégâts de puissance d'attaque <color=yellow>{1} fois</color>.,Suelta objetos para infligir <color=red>{0}%</color> de daño de poder de ataque <color=yellow>{1} veces</color>.,Thả vật phẩm để gây sát thương bằng <color=red>{0}%</color> sức tấn công <color=yellow>{1} lần</color>.
32,1,하이라이트를 받아 다음에 시전하는 스킬의 데미지를 <color=red>{0}%</color> 증가시킵니다.,Receive a highlight and increase the damage of the next skill cast by <color=red>{0}%</color>.,ハイライトを受け取り、次に発動するスキルのダメージを<color=red>{0}%</color>増加させます。,获得高光效果，并使下一次施放的技能伤害提高<color=red>{0}%</color>。,獲得高光效果，並使下一次施放的技能傷害提高<color=red>{0}%</color>。,Получите эффект подсветки и увеличьте урон следующего применения навыка на <color=red>{0}%</color>.,Bénéficiez d'une mise en évidence et augmentez les dégâts de la prochaine compétence lancée de <color=red>{0}%</color>.,Recibe un resaltado y aumenta el daño del siguiente lanzamiento de habilidad en <color=red>{0}%</color>.,Nhận được hiệu ứng nổi bật và tăng sát thương của kỹ năng tiếp theo lên <color=red>{0}%</color>.
33,4,일렉트릭을 <color=yellow>{1}초</color> 동안 발사하여 <color=yellow>{2}초</color> 마다 공격력의 <color=red>{0}%</color> 피해를 줍니다. ,"Fires Electric for <color=yellow>{1} seconds</color>, dealing <color=yellow>{2} seconds</color> damage of <color=red>{0}%</color> of attack power.",<color=yellow>{1}秒間</color>電撃を放ち、<color=yellow>{2}秒間</color>攻撃力の<color=red>{0}%</color>のダメージを与えます。,发射电击，持续<color=yellow>{1}秒</color>，造成<color=yellow>{2}秒</color>伤害，伤害值为攻击力的<color=red>{0}%</color>。,發射電擊，持續<color=yellow>{1}秒</color>，造成<color=yellow>{2}秒</color>傷害，傷害值為攻擊力的<color=red>{0}%</color>。,"Выпускает электрический заряд в течение <color=yellow>{1} секунд</color>, нанося <color=yellow>{2} секунд</color> урона в размере <color=red>{0}%</color> от силы атаки.","Lance des projectiles électriques pendant <color=yellow>{1} secondes</color>, infligeant <color=yellow>{2} secondes</color> dégâts de <color=red>{0}%</color> de la puissance d'attaque.","Dispara eléctrico durante <color=yellow>{1} segundos</color>, infligiendo <color=yellow>{2} segundos</color> de daño del <color=red>{0}%</color> del poder de ataque.","Bắn tia điện trong <color=yellow>{1} giây</color>, gây sát thương <color=yellow>{2} giây</color> bằng <color=red>{0}%</color> sức tấn công."
34,1,별 분수를 발사하여 공격력의 <color=red>{0}%</color> 피해를 7번 입힙니다.,Fires a star fountain to deal <color=red>{0}%</color> of attack power damage 7 times.,星の噴水を発射し、攻撃力の<color=red>{0}%</color>のダメージを7回与えます。,发射星辰喷泉，造成攻击力的<color=red>{0}%</color>点伤害，共7次。,發射星辰噴泉，造成攻擊力的<color=red>{0}%</color>點傷害，共7次。,"Выпускает звездный фонтан, наносящий 7 раз урон в размере <color=red>{0}%</color> от силы атаки.",Tire une fontaine d'étoiles pour infliger <color=red>{0}%</color> de dégâts de puissance d'attaque 7 fois.,Dispara una fuente de estrellas para infligir <color=red>{0}%</color> de daño de poder de ataque 7 veces.,Phóng ra một luồng sao gây sát thương bằng <color=red>{0}%</color> sức tấn công 7 lần.
