idx,Korean,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
16,"재침공에서 주로 획득 가능하고, <color=yellow>보석 강화</color>시 사용","Mainly obtainable from Re-invasion, and used for <color=yellow>Gem Enhancement</color>",主に再侵略で入手可能で、<color=yellow>宝石強化</color>に使用されます。,主要可通过再次入侵获得，用于<color=yellow>宝石强化</color>,主要可透過再次入侵獲得，用於<color=yellow>寶石強化</color>,"В основном его можно получить в ходе повторного вторжения, и он используется для улучшения драгоценных камней.","Principalement disponible via la réinvasion, et utilisé pour l'<color=yellow>amélioration des gemmes</color>",Se obtiene principalmente mediante la Reinvasión y se utiliza para <color=yellow>Mejora de gemas</color>,Chủ yếu có thể thu được từ sự kiện Tái xâm lược và được dùng để <color=yellow>Nâng cấp đá quý</color>
17,파란책,Blue book,ブルーブック,蓝皮书,藍皮書,Синяя книга,Livre bleu,Libro azul,Sách Xanh
18,던전에서 획득 가능하고 <color=yellow>잠재력</color>을 얻거나 <color=yellow>잠재력</color>을 새로고침할때 사용,Obtainable in dungeons and used to obtain <color=yellow>Potential</color> or refresh <color=yellow>Potential</color>,ダンジョンで入手でき、<color=yellow>潜在能力</color>の獲得または<color=yellow>潜在能力</color>のリフレッシュに使用されます。,可在地下城中获得，用于获取或刷新潜能。,可在地下城中獲得，用於獲取或刷新潛能。,Можно получить в подземельях и использовать для получения <color=yellow>Потенциала</color> или обновления <color=yellow>Потенциала</color>.,Obtenu dans les donjons et utilisé pour obtenir ou recharger du <color=yellow>Potentiel</color>,Se puede obtener en mazmorras y se utiliza para obtener <color=yellow>Potencial</color> o actualizar <color=yellow>Potencial</color>.,Có thể nhận được trong các hầm ngục và dùng để nhận <color=yellow>Tiềm năng</color> hoặc làm mới <color=yellow>Tiềm năng</color>
19,재침공에서 획득 가능하고 장비가 파괴되었을때 사용하여 <color=yellow>장비 복구</color>시 사용,Obtainable from the Re-invasion and used to restore equipment when equipment is destroyed.,再侵攻イベントで入手可能で、装備が破壊された際に装備を修復するために使用されます。,可通过重新入侵获得，用于在装备被摧毁时修复装备。,可透過重新入侵獲得，用於在裝備被摧毀時修復裝備。,Получается в ходе повторного вторжения и используется для восстановления оборудования после его уничтожения.,Obtenu lors de la réinvasion et utilisé pour restaurer l'équipement détruit.,Se puede obtener en la Reinvasión y se utiliza para restaurar el equipo cuando este resulta destruido.,Có thể nhận được từ sự kiện Tái xâm lược và được sử dụng để khôi phục trang thiết bị khi chúng bị phá hủy.
20,"매일 최대 5개 충전, 교환소에서 획득 가능하고 <color=yellow>네스 던전 입장</color>시 사용","Charge up to 5 daily, obtainable at the Exchange, and use upon entering <color=yellow>Ness Dungeon</color>",1日最大5回までチャージ可能。交換所で入手でき、<color=yellow>ネスダンジョン</color>に入るときに使用できます。,每日最多可充能 5 次，可在兑换处获得，进入<color=yellow>奈斯地牢</color>时使用。,每日最多可充能 5 次，可在兌換處獲得，進入<color=yellow>奈斯地牢</color>時使用。,"Заряжайте до 5 раз в день, приобретайте в Обменнике и используйте при входе в Подземелье Несса.","Rechargez jusqu'à 5 par jour, disponibles à l'Échange, et utilisez-les en entrant dans le <color=yellow>Donjon de Ness</color>","Carga hasta 5 diariamente, obtenible en el Intercambio, y úsalo al entrar en la <color=yellow>Mazmorra de Ness</color>","Nạp tối đa 5 mỗi ngày, có thể nhận tại Cửa hàng trao đổi và sử dụng khi vào <color=yellow>Hầm ngục Ness</color>"
21,"매일 최대 5개 충전, 교환소에서 획득 가능하고 <color=yellow>구스 던전 입장</color>시 사용","Charge up to 5 daily, obtainable at the Exchange, and use upon entering the Goose Dungeon.",1日最大5回までチャージ可能。交換所で入手でき、ガチョウのダンジョンに入る際に使用できます。,每天最多可充能 5 次，可在交易所获得，进入鹅地牢时使用。,每天最多可充能 5 次，可在交易所獲得，進入鵝地牢時使用。,"Заряжайте устройство до 5 раз в день, его можно получить в пункте обмена и использовать при входе в Гусиное подземелье.","Rechargez jusqu'à 5 par jour, disponibles à la Bourse, et utilisez-les en entrant dans le Donjon des Oies.",Se pueden cargar hasta 5 al día en la Bolsa de Intercambio y utilizarlas al entrar en la Mazmorra del Ganso.,"Tích lũy tối đa 5 điểm mỗi ngày, có thể nhận tại Sàn giao dịch và sử dụng khi vào Hầm ngục Ngỗng."
22,"매일 최대 5개 충전, 교환소에서 획득 가능하고 <color=yellow>스컬 던전 입장</color>시 사용","Charge up to 5 daily, obtainable at the Exchange, and use upon entering <color=yellow>Skull Dungeon</color>",1日最大5回までチャージ可能。交換所で入手でき、<color=yellow>スカルダンジョン</color>に入るときに使用できます。,每日最多可充能 5 次，可在交易所获得，进入<color=yellow>骷髅地牢</color>时使用。,每日最多可充能 5 次，可在交易所取得，進入<color=yellow>骷髏地牢</color>時使用。,"Заряжайте до 5 раз в день, приобретайте в Обменнике и используйте при входе в <color=yellow>Подземелье Черепа</color>","Rechargez jusqu'à 5 par jour, disponibles à l'Échange, et utilisez-les en entrant dans le <color=yellow>Donjon du Crâne</color>","Carga hasta 5 diariamente, obtenible en el Intercambio, y úsalo al entrar en <color=yellow>Mazmorra Calavera</color>","Nạp tối đa 5 mỗi ngày, có thể nhận tại Cửa hàng trao đổi và sử dụng khi vào <color=yellow>Ngục tối Đầu lâu</color>"
23,"매일 최대 5개 충전, 교환소에서 획득 가능하고 <color=yellow>스파이더 던전 입장</color>시 사용","Charge up to 5 daily, obtainable at the Exchange, and use upon entering the Spider Dungeon.",1日最大5回までチャージ可能。交換所で入手でき、スパイダーダンジョンに入る際に使用できます。,每天最多可充能 5 次，可在交易所获得，进入蜘蛛地牢时使用。,每天最多可充能 5 次，可在交易所獲得，進入蜘蛛地牢時使用。,"Заряжайте до 5 раз в день, приобретайте в пункте обмена и используйте при входе в Паучье подземелье.","Rechargez jusqu'à 5 par jour, disponibles à la Bourse, et utilisez-les en entrant dans le Donjon de l'Araignée.",Se pueden cargar hasta 5 veces al día en la Casa de Subastas y utilizarlas al entrar en la Mazmorra de las Arañas.,"Tích điểm tối đa 5 mỗi ngày, có thể nhận tại Cửa hàng trao đổi và sử dụng khi vào Hầm ngục Nhện."
24,"스테이지, 레벨업, 던전 최초, 월드투어에서 획득 가능하고 힘, 체력등 <color=yellow>능력치 강화</color>할때 사용","Obtainable from Stages, Level Ups, Dungeon Firsts, and World Tours, and used to enhance <color=yellow>stats such as Strength, Stamina, etc.</color>",ステージ、レベルアップ、ダンジョン初クリア、ワールドツアーなどで入手でき、筋力、スタミナなどのステータスを強化するために使用されます。,可通过关卡、升级、地下城首杀和世界巡回赛获得，用于提升力量、耐力等属性。,可透過關卡、升級、地下城首殺和世界巡迴賽獲得，用於提升力量、耐力等屬性。,"Получается на этапах, при повышении уровня, при первом прохождении подземелий и в мировых турах, и используется для улучшения таких характеристик, как сила, выносливость и т. д.","Obtenus lors des étapes, des passages de niveau, des premières découvertes de donjons et des tours du monde, et utilisés pour améliorer les <color=yellow>statistiques telles que la force, l'endurance, etc.</color>","Se puede obtener en etapas, subidas de nivel, mazmorras completadas por primera vez y giras mundiales, y se utiliza para mejorar <color=yellow>estadísticas como Fuerza, Resistencia, etc.</color>","Có thể nhận được từ các màn chơi, lên cấp, lần đầu tiên hoàn thành hầm ngục và các chuyến du lịch thế giới, và được sử dụng để tăng cường các chỉ số như Sức mạnh, Thể lực, v.v."
25,재침공에거 획득 가능하고 <color=yellow>보석 합성</color>할때 사용,Obtainable from Re-invasion and used when <color=yellow>synthesizing gems</color>,再侵略で入手可能で、宝石を合成する際に使用します。,可通过重返入侵获得，用于<color=yellow>合成宝石</color>。,可透過重返入侵取得，用於<color=yellow>合成寶石</color>。,Получается в ходе «Повторного вторжения» и используется при синтезе драгоценных камней.,Obtenu lors de la réinvasion et utilisé lors de la <color=yellow>synthèse de gemmes</color>,Se obtiene de la Reinvasión y se usa al <color=yellow>sintetizar gemas</color>,Có thể nhận được từ sự kiện Tái xâm lược và được sử dụng khi <color=yellow>tổng hợp đá quý</color>
26,"매일 최대 5개 충전, 교환소에서 획득 가능하고 <color=yellow>월드투어 입장</color>을 할때 사용","Charge up to 5 daily, obtainable at the Exchange, and use when entering <color=yellow>World Tour</color>",1日最大5回までチャージ可能。交換所で入手でき、ワールドツアーに参加する際に使用できます。,每日最多可充能 5 次，可在兑换处获得，并在进入<color=yellow>世界巡回赛</color>时使用。,每日最多可充能 5 次，可在兌換處獲得，並在進入<color=yellow>世界巡迴賽</color>時使用。,"Заряжайте до 5 раз в день, приобретайте в пункте обмена и используйте при входе в <color=yellow>World Tour</color>","Rechargez jusqu'à 5 par jour, disponibles à l'Échange, et utilisez-les lors de votre entrée dans <color=yellow>World Tour</color>","Carga hasta 5 al día, disponible en la Bolsa de Comercio, y úsala al entrar en el <color=yellow>World Tour</color>","Nạp tối đa 5 điểm mỗi ngày, có thể nhận tại quầy đổi tiền và sử dụng khi tham gia <color=yellow>World Tour</color>"
27,재침공의 시간을 돌려서 빠르게 들어갈 수 있음,You can rewind the time of the re-invasion to enter quickly.,再侵攻の時間を巻き戻して、素早く侵入することができます。,你可以倒转再次入侵的时间，以便快速进入。,你可以倒轉再次入侵的時間，以便快速進入。,"Вы можете отмотать время повторного вторжения назад, чтобы быстро проникнуть внутрь.",Vous pouvez remonter le temps de la réinvasion pour entrer rapidement.,Puedes retroceder en el tiempo de la reinvasión para entrar rápidamente.,Bạn có thể tua ngược thời gian cuộc tái xâm lược để vào nhanh hơn.
28,다양한 보석이 들어있는 상자\n<color=red>모두 동일 확률</color>,Boxes containing various gems	<color=red>All have equal probability</color>,様々な宝石が入った箱 <color=red>すべて同じ確率で宝石が入っています</color>,装有各种宝石的盒子，所有宝石出现的概率均等。,裝有各種寶石的盒子，所有寶石出現的機率均等。,"Коробки, содержащие различные драгоценные камни <color=red>Все имеют одинаковую вероятность</color>",Des boîtes contenant diverses gemmes <color=red>Toutes ont une probabilité égale</color>,Cajas que contienen varias gemas <color=red>Todas tienen la misma probabilidad</color>,Các hộp chứa nhiều loại đá quý khác nhau <color=red>Tất cả đều có xác suất như nhau</color>
29,0.1% 로 화려한 <color=yellow>특수무기</color> 또는 <color=yellow>파편</color>을 가지고 있는 상자\n<color=yellow>파편 - 1~3개 동일확 확률로 획득</color>\n<color=red>특수무기 - 확률표 참고\n[가방->특수->느낌표]</color>,A box containing a flashy <color=yellow>Special Weapon</color> or <color=yellow>Shard</color> with a 0.1% chance	<color=yellow>Shard - Obtain 1~3 with equal probability</color>	<color=red>Special Weapon - Refer to the probability table	[Bag->Special->Exclamation Mark]</color>,0.1%の確率で、派手な<color=yellow>スペシャルウェポン</color>または<color=yellow>シャード</color>が入った箱。<color=yellow>シャード - 1～3個を均等な確率で入手</color> <color=red>スペシャルウェポン - 確率表[バッグ->スペシャル->感嘆符]を参照</color>,一个装有炫酷的<color=yellow>特殊武器</color>或<color=yellow>碎片</color>的盒子，有0.1%的概率获得<color=yellow>碎片 - 获得概率1~3个</color> <color=red>特殊武器 - 请参阅概率表 [背包->特殊->感叹号]</color>,一個裝有酷炫的<color=yellow>特殊武器</color>或<color=yellow>碎片</color>的盒子，有0.1%的機率獲得<color=yellow>碎片 - 獲得機率1~3個</color> <color=red>特殊武器 - 請參閱機率表 [背包->特殊->感嘆號]</color>,"Коробка, содержащая эффектное <color=yellow>Особое оружие</color> или <color=yellow>Осколок</color> с вероятностью 0,1%. <color=yellow>Осколок - Получите 1-3 с равной вероятностью</color> <color=red>Особое оружие - См. таблицу вероятностей [Сумка->Особое->Восклицательный знак]</color>","Une boîte contenant une arme spéciale ou un éclat (0,1 % de chances d'en obtenir 1 à 3). Pour les autres objets, consultez le tableau des probabilités [Sac -> Spécial -> Point d'exclamation].","Una caja que contiene un llamativo <color=yellow>Arma especial</color> o <color=yellow>Fragmento</color> con una probabilidad del 0,1 %. <color=yellow>Fragmento: Obtener 1~3 con igual probabilidad</color> <color=red>Arma especial: Consultar la tabla de probabilidad [Bolsa->Especial->Signo de exclamación]</color>","Một hộp chứa <color=yellow>Vũ khí đặc biệt</color> hoặc <color=yellow>Mảnh ghép</color> với tỷ lệ 0,1% <color=yellow>Mảnh ghép - Nhận được 1~3 với xác suất bằng nhau</color> <color=red>Vũ khí đặc biệt - Tham khảo bảng xác suất [Túi -> Đặc biệt -> Dấu chấm than]</color>"
30,0.1% 로 화려한 <color=yellow>오라</color> 또는 <color=yellow>파편</color>을 가지고 있는 상자\n<color=yellow>파편 - 1~3개 동일확 확률로 획득</color>\n<color=red>오라 -확률표 참고\n[가방->특수->느낌표]</color>,A box with a 0.1% chance of obtaining a splendid <color=yellow>Aura</color> or <color=yellow>Shard</color>	<color=yellow>Shard - Obtain 1~3 with equal probability</color>	<color=red>Aura - Refer to probability table	[Bag->Special->Exclamation Mark]</color>,0.1%の確率で素晴らしい<color=yellow>オーラ</color>または<color=yellow>シャード</color>を入手できるボックス。<color=yellow>シャード - 1～3個を均等な確率で入手</color> <color=red>オーラ - 確率表[バッグ->スペシャル->感嘆符]を参照</color>,有 0.1% 的概率获得精美光环或碎片。<color=yellow>碎片 - 获得概率 1~3 个</color> <color=red>光环 - 请参考概率表 [背包->特殊->感叹号]</color>,有 0.1% 的機率獲得精美光環或碎片。 <color=yellow>碎片 - 獲得機率 1~3 個</color> <color=red>光環 - 請參考機率表 [背包->特殊->感嘆號]</color>,"Коробка с вероятностью 0,1% получить великолепную <color=yellow>Ауру</color> или <color=yellow>Осколок</color> <color=yellow>Осколок - Получите 1-3 с равной вероятностью</color> <color=red>Ауру - См. таблицу вероятностей [Сумка->Специальные->Восклицательный знак]</color>","Une boîte avec 0,1 % de chances d'obtenir une <color=yellow>Aura</color> ou un <color=yellow>Fragment</color> splendide. <color=yellow>Fragment : 1 à 3 fragments obtenus avec une probabilité égale.</color> <color=red>Aura : voir le tableau des probabilités [Sac > Spécial > Point d'exclamation].</color>","Una caja con un 0,1 % de probabilidad de obtener un espléndido <color=yellow>Aura</color> o <color=yellow>Fragmento</color> <color=yellow>Fragmento: se obtienen de 1 a 3 con igual probabilidad</color> <color=red>Aura: consultar la tabla de probabilidad [Bolsa->Especial->Signo de exclamación]</color>","Một hộp có 0,1% cơ hội nhận được <color=yellow>Hào quang</color> hoặc <color=yellow>Mảnh vỡ</color> tuyệt vời <color=yellow>Mảnh vỡ - Nhận được 1~3 với xác suất bằng nhau</color> <color=red>Hào quang - Tham khảo bảng xác suất [Túi -> Đặc biệt -> Dấu chấm than]</color>"
31,"강화석이 들어있는 상자\n<color=red>강화석 등급별 확률 : [50%, 19.8%, 12%, 8%, 5%, 2.4%, 1.6%, 0.8%, 0.39%, 0.01%]</color>\n[20개~30개 동일한 확률로 획득]","Box Containing Enhancement Stones	<color=red>Probability by Enhancement Stone Grade: [50%, 19.8%, 12%, 8%, 5%, 2.4%, 1.6%, 0.8%, 0.39%, 0.01%]</color>	[Obtain 20~30 with equal probability]",強化石入りボックス <color=red>強化石グレード別確率：[50%、19.8%、12%、8%、5%、2.4%、1.6%、0.8%、0.39%、0.01%]</color> [20～30個を均等な確率で入手],"装有强化石的盒子 <color=red>按强化石等级划分的概率：[50%, 19.8%, 12%, 8%, 5%, 2.4%, 1.6%, 0.8%, 0.39%, 0.01%]</color> [获得 20~30 的概率相等]","裝有強化石的盒子 <color=red>依強化石等級劃分的機率：[50%, 19.8%, 12%, 8%, 5%, 2.4%, 1.6%, 0.8%, 0.39%, 0.01%]</color> [獲得 2030 的機率相等~]","Коробка с камнями улучшения <color=red>Вероятность получения в зависимости от класса камня улучшения: [50%, 19,8%, 12%, 8%, 5%, 2,4%, 1,6%, 0,8%, 0,39%, 0,01%]</color> [Получить 20–30 с равной вероятностью]","Boîte contenant des pierres d'amélioration <color=red>Probabilité selon la qualité de la pierre d'amélioration : [50 %, 19,8 %, 12 %, 8 %, 5 %, 2,4 %, 1,6 %, 0,8 %, 0,39 %, 0,01 %]</color> [Obtenez 20 à 30 pierres avec une probabilité égale]","Caja que contiene piedras de mejora <color=red>Probabilidad según el grado de la piedra de mejora: [50%, 19,8%, 12%, 8%, 5%, 2,4%, 1,6%, 0,8%, 0,39%, 0,01%]</color> [Obtenga 20~30 con igual probabilidad]","Hộp chứa Đá Tăng Cường <color=red>Xác suất theo cấp độ Đá Tăng Cường: [50%, 19.8%, 12%, 8%, 5%, 2.4%, 1.6%, 0.8%, 0.39%, 0.01%]</color> [Nhận được 20~30 viên với xác suất như nhau]"
32,특수무기 파편으로 100개를 모으면 완성무기 제작 가능\n<color=red>확률표 참고 [가방->특수->느낌표]</color>,Collect 100 Special Weapon Fragments to craft the complete weapon.	<color=red>Refer to the probability table [Bag->Special->Exclamation Mark]</color>,特殊武器の破片を100個集めて、完全な武器を製作しましょう。<color=red>確率表[バッグ→特殊→感嘆符]を参照してください</color>,收集100个特殊武器碎片即可打造完整武器。<color=red>请参考概率表[背包->特殊->感叹号]</color>,收集100個特殊武器碎片即可打造完整武器。 <color=red>請參考機率表[背包->特殊->驚嘆號]</color>,"Соберите 100 фрагментов особого оружия, чтобы создать готовое оружие. <color=red>Обратитесь к таблице вероятностей [Мешок->Особое->Восклицательный знак]</color>",Collectez 100 fragments d'arme spéciale pour fabriquer l'arme complète. <color=red>Consultez le tableau des probabilités [Sac->Spécial->Point d'exclamation]</color>,Reúne 100 fragmentos de armas especiales para fabricar el arma completa. <color=red>Consulta la tabla de probabilidad [Bolsa->Especial->Signo de exclamación]</color>,Thu thập 100 Mảnh Vũ Khí Đặc Biệt để chế tạo vũ khí hoàn chỉnh. <color=red>Tham khảo bảng xác suất [Túi đồ->Đặc Biệt->Dấu chấm than]</color>
33,오라의 파편으로 100개를 모으면 완성 오라 제작 가능\n<color=red>확률표 참고 [가방->특수->느낌표]</color>,Collect 100 Aura Shards to craft a Completed Aura.	<color=red>Refer to the probability table [Bag->Special->Exclamation Mark]</color>,オーラのかけらを100個集めて、完成したオーラを作成しましょう。<color=red>確率表[バッグ→スペシャル→感嘆符]を参照してください</color>,收集100个灵气碎片即可合成一个完整的灵气。<color=red>请参考概率表[背包->特殊->感叹号]</color>,收集100個靈氣碎片即可合成一個完整的靈氣。 <color=red>請參考機率表[背包->特殊->驚嘆號]</color>,"Соберите 100 осколков ауры, чтобы создать готовую ауру. <color=red>Обратитесь к таблице вероятностей [Мешок->Специальные->Восклицательный знак]</color>",Collectez 100 fragments d'aura pour fabriquer une aura complète. <color=red>Consultez le tableau des probabilités [Sac->Spécial->Point d'exclamation]</color>,Reúne 100 fragmentos de aura para crear un aura completa. <color=red>Consulta la tabla de probabilidad [Bolsa->Especial->Signo de exclamación]</color>,Thu thập 100 Mảnh Hào Quang để chế tạo Hào Quang Hoàn Chỉnh. <color=red>Tham khảo bảng xác suất [Túi đồ->Đặc biệt->Dấu chấm than]</color>
34,찬기운 석,Ice Stone,アイスストーン,冰石,冰石,Ледяной камень,Pierre de glace,Piedra de hielo,Đá băng
35,열기운 석,Hot Stone,ホットストーン,热石,熱石,Горячий камень,Pierre chaude,Piedra caliente,Đá nóng
36,뿅기운 석,Heart stone,ハートストーン,心石,心石,Камень сердца,Pierre du cœur,Piedra del corazón,Viên đá hình trái tim
37,F등급을 획득할 수 있는 티켓\n확률: [--]<color=red>35%</color>  [-] <color=red>30%</color>  [normal] <color=red>20%</color>  [+] <color=red>10%</color>  [++] <color=red>5%</color>,Ticket to obtain F grade	Probability: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,F評価を獲得する確率：[--]35% [-] 30% [通常] 20% [+] 10% [++] 5%,获得F级成绩的概率：[--]35% [-]30% [正常]20% [+]10% [++]5%,獲得F級成績的機率：[--]35% [-]30% [正常]20% [+]10% [++]5%,Вероятность получения оценки F: [--]35% [-] 30% [нормальный] 20% [+] 10% [++] 5%,Probabilité d'obtenir la note F : [--] 35 % [-] 30 % [normal] 20 % [+] 10 % [++] 5 %,Boleto para obtener calificación F Probabilidad: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Xác suất nhận điểm F: [--] 35% [-] 30% [bình thường] 20% [+] 10% [++] 5%
38,E등급을 획득할 수 있는 티켓\n확률: [--]<color=red>35%</color>  [-] <color=red>30%</color>  [normal] <color=red>20%</color>  [+] <color=red>10%</color>  [++] <color=red>5%</color>,Ticket to obtain E grade	Probability: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,E評価を獲得できる確率：[--]35% [-] 30% [通常] 20% [+] 10% [++] 5%,获得E级成绩的概率：[--]35% [-]30% [正常]20% [+]10% [++]5%,獲得E級成績的機率：[--]35% [-]30% [正常]20% [+]10% [++]5%,Вероятность получения оценки E: [--]35% [-] 30% [нормальный] 20% [+] 10% [++] 5%,Probabilité d'obtention du billet de niveau E : [--] 35 % [-] 30 % [normal] 20 % [+] 10 % [++] 5 %,Boleto para obtener calificación E Probabilidad: [--]35% [-] 30% [normal] 20% [+] 10% [++] 5%,Xác suất nhận vé hạng E: [--] 35% [-] 30% [bình thường] 20% [+] 10% [++] 5%
