index,type,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
12,0,나를 비추는 광선! 라이트 온!,The ray shining on me! Light on!,私に降り注ぐ光！ライトオン！,一道光束照在我身上！灯亮了！,一道光束照在我身上！燈亮了！,Луч света падает на меня! Свет включен!,Le rayon brille sur moi ! Lumière allumée !,¡El rayo brilla sobre mí! ¡Luz encendida!,Tia sáng chiếu vào tôi! Bật đèn lên!
13,0,내 뒤엔 팬들이 있어! 철벽 방어!,I have fans behind me! Ironclad defense!,私にはファンが後ろ盾についている！鉄壁の防御だ！,我身后有粉丝支持！防守坚不可摧！,我身後有粉絲支持！防守堅不可摧！,За мной стоят болельщики! Непробиваемая защита!,J'ai des fans derrière moi ! Défense inébranlable !,¡Tengo fans que me apoyan! ¡Defensa a prueba de balas!,Tôi có những người hâm mộ ủng hộ phía sau! Hàng thủ vững chắc!
14,0,비트가 빨라져! 심장 박동 최고조!,The beat is getting faster! Heart rate at its peak!,鼓動が速くなってきた！心拍数がピークに達した！,心跳越来越快！心率达到峰值！,心跳越來越快！心率達到高峰！,Сердцебиение учащается! Пульс на пике!,Le rythme cardiaque s'accélère ! Fréquence cardiaque maximale !,¡El ritmo cardíaco se acelera! ¡La frecuencia cardíaca está en su punto máximo!,Nhịp tim đang đập nhanh hơn! Nhịp tim đạt đỉnh điểm!
15,0,고막 주의! 사운드 폭발한다!,Watch out for your eardrums! The sound is explosive!,鼓膜に注意してください！爆発音です！,小心你的耳膜！声音震耳欲聋！,小心你的耳膜！聲音震耳欲聾！,Берегите свои барабанные перепонки! Звук просто взрывной!,Attention à vos tympans ! Le son est explosif !,¡Cuidado con los tímpanos! ¡El sonido es explosivo!,Cẩn thận với màng nhĩ của bạn! Âm thanh cực mạnh!
16,0,밤하늘의 별을 쏴줄게! 슈팅 스타!,I'll shoot a star from the night sky! Shooting Star!,夜空から星を撃ち落とすぞ！流れ星！,我要射下夜空中的一颗星星！流星！,我要射下夜空中的一顆星星！流星！,Я спущу звезду с ночного неба! Падающую звезду!,Je vais tirer sur une étoile filante ! Étoile filante !,¡Dispararé una estrella desde el cielo nocturno! ¡Estrella fugaz!,Tôi sẽ bắn một ngôi sao từ bầu trời đêm! Sao Băng!
17,0,나랑 눈 마주쳤지? 심쿵 조심!,"You made eye contact with me, right? Watch out for your heart skip a beat!",私と目が合ったでしょ？心臓がドキッとするかもしれないから気をつけて！,你跟我对视了吗？小心你的心跳漏了一拍！,你跟我對視了嗎？小心你的心跳漏了一拍！,"Ты же посмотрела мне в глаза, правда? Осторожно, сердце забьется быстрее!","Tu as croisé mon regard, n'est-ce pas ? Attention, ton cœur pourrait s'emballer !","Me miraste a los ojos, ¿verdad? ¡Cuidado, que se te acelera el corazón!","Bạn đã nhìn thẳng vào mắt tôi, đúng không? Cẩn thận kẻo tim bạn đập nhanh hơn đấy!"
18,0,이게 바로 피날레야! 앙코르 따윈 없다!,This is the finale! No encores!,これが最終回です！アンコールはありません！,这是最终章！没有安可！,這是最終章！沒有安可！,Это финал! На бис не будет!,C'est le final ! Pas de rappel !,¡Este es el final! ¡No habrá bises!,Đây là phần cuối cùng! Không có màn diễn lại!
19,0,내 마음을 받아라! 하트 뿅뿅~,Take my heart! Hearts galore~,私の心を受け取って！たくさんのハートがいっぱい～,带走我的心吧！好多爱心哦~,帶走我的心吧！好多愛心哦~,Забери моё сердце! Целое множество сердец!,Prends mon cœur ! Des cœurs à profusion !,¡Toma mi corazón! ¡Corazones a montones!,Hãy lấy trái tim tôi! Vô vàn trái tim~
20,0,한정판이야! 굿즈 폭격 간다!,It's a limited edition! Time for a merchandise bombardment!,限定版です！グッズ攻勢の始まりです！,这是限量版！是时候铺天盖地地推出周边产品了！,這是限量版！是時候鋪天蓋地地推出週邊產品了！,Это лимитированная серия! Время для массовой распродажи товаров!,C'est une édition limitée ! Préparez-vous à une avalanche de produits dérivés !,¡Es una edición limitada! ¡Es hora de un bombardeo de productos!,Đây là phiên bản giới hạn! Đã đến lúc tung ra hàng loạt sản phẩm ăn theo!
21,0,"자, 다음 곡은 더 강력하게 갈게!","Alright, I'm going to go even harder with the next song!",よし、次の曲ではさらに激しくやるぞ！,好，下一首歌我要更加努力！,好，下一首歌我要更努力！,"Хорошо, со следующей песней я выложусь ещё сильнее!","Très bien, je vais y aller encore plus fort sur la prochaine chanson !","¡Muy bien, voy a esforzarme aún más con la siguiente canción!","Được rồi, tôi sẽ chơi hết mình hơn nữa với bài hát tiếp theo!"
22,0,전율을 느껴봐! 일렉트릭-쇼크!,Feel the thrill! Electric Shock!,スリルを味わえ！電気ショック！,感受刺激！电击！,感受刺激！電擊！,Почувствуйте острые ощущения! Электрический шок!,Sensations fortes garanties ! Choc électrique !,¡Siente la emoción! ¡Descarga eléctrica!,Cảm nhận sự phấn khích! Cú sốc điện!
23,0,화려하게 터져라! 스타 파운틴!,Burst spectacularly! Star Fountain!,壮観に爆発！スターファウンテン！,绚丽绽放！星光喷泉！,絢麗綻放！星光噴泉！,Эффектный взрыв! Звездный фонтан!,Explosion spectaculaire ! Fontaine d'étoiles !,¡Explosión espectacular! ¡Fuente de estrellas!,Bùng nổ ngoạn mục! Đài phun nước sao!
24,0,모두 내 목소리에 집중해! 마이크 투하!,"Everyone, focus on my voice! Mic drop!",皆さん、私の声に注目してください！マイクドロップ！,大家注意我的声音！麦克风掉落！,大家注意我的聲音！麥克風掉落！,"Внимание всем, слушайте мой голос! Занавес!","Tout le monde, concentrez-vous sur ma voix ! Lâchez le micro !","¡Todos, concéntrense en mi voz! ¡Micrófono al suelo!",Mọi người hãy tập trung vào giọng nói của tôi! Kết thúc màn trình diễn!
25,0,올해의 주인공은 바로 나야!,I'm the star of the year!,私は今年のスターだ！,我是年度之星！,我是年度之星！,Я — звезда года!,Je suis la star de l'année !,¡Soy la estrella del año!,Tôi là ngôi sao của năm!
26,0,스피커 떨궈! 비트 박살 낸다!,Drop the speaker! Smash the beat!,スピーカーを落とせ！ビートをぶちまけろ！,扔掉音箱！砸碎节拍！,丟掉音箱！砸碎節拍！,Бросьте колонки! Разнесите бит!,Lâchez l'enceinte ! Déchaînez le rythme !,¡Suelta el altavoz! ¡Aplasta el ritmo!,Thả loa xuống! Phá tan nhịp điệu!
27,0,내 매력에 헤어날 수 없을걸? 빵!,You won't be able to escape my charm! Bang!,私の魅力からは逃れられないわよ！バン！,你逃不出我的魅力！砰！,你逃不出我的魅力！砰！,Ты не сможешь устоять перед моим обаянием! Бах!,Tu ne pourras pas échapper à mon charme ! Bang !,¡No podrás escapar de mi encanto! ¡Bang!,Ngươi sẽ không thể thoát khỏi sự quyến rũ của ta đâu! Bùm!
28,0,무대를 반으로 갈라줄게! 슬래시!,I'll split the stage in half! Slash!,ステージを真っ二つに切り裂いてやる！ スラッシュ！,我要把舞台劈成两半！劈！,我要把舞台劈成兩半！劈！,Я расколю сцену пополам! Ударь!,Je vais couper la scène en deux ! Coup de sabre !,¡Partiré el escenario por la mitad! ¡Corte!,Tôi sẽ xẻ đôi sân khấu! Chém!
29,0,하늘에서 쏟아지는 스포트라이트!,Spotlight pouring down from the sky!,空からスポットライトが降り注ぐ！,聚光灯从天而降！,聚光燈從天而降！,С неба льются лучи прожектора!,Un projecteur déverse son faisceau depuis le ciel !,¡Un foco de luz cae del cielo!,Ánh đèn pha chiếu rọi từ trên trời xuống!
30,0,누구보다 밝게 빛날 시간!,Time to shine brighter than anyone else!,誰よりも輝く時が来た！,是时候展现你比任何人都更耀眼的光芒了！,是時候展現你比任何人都更耀眼的光芒了！,Пришло время сиять ярче всех!,Il est temps de briller plus que quiconque !,¡Es hora de brillar más que nadie!,Đã đến lúc tỏa sáng hơn bất cứ ai khác!
31,0,이 구역은 온통 핑크빛이야!,This whole area is pink!,この辺り一帯がピンク色だ！,这整个区域都是粉红色的！,這整個區域都是粉紅色的！,Весь этот район розовый!,Toute cette zone est rose !,¡Toda esta zona es rosa!,Cả khu vực này đều màu hồng!
32,1,"지금이야, 모든 화력을 집중해!",Now's the time! Concentrate all firepower!,今こそその時だ！全火力を集中せよ！,现在正是时候！集中所有火力！,現在正是時候！集中所有火力！,Настало время! Сосредоточьте всю огневую мощь!,C'est le moment ! Concentrez toutes vos forces !,¡Ahora es el momento! ¡Concentren toda su potencia de fuego!,Thời điểm quyết định! Tập trung toàn bộ hỏa lực!
33,1,다음 곡 준비 완료! 바로 가자!,Next song ready! Let's go!,次の曲の準備ができました！さあ、始めましょう！,下一首歌准备好了！开始吧！,下一首歌準備好了！開始吧！,Следующая песня готова! Поехали!,Chanson suivante prête ! C'est parti !,¡Siguiente canción lista! ¡Vamos!,Bài hát tiếp theo đã sẵn sàng! Bắt đầu nào!
34,1,우리 팀 호흡 최고인데? 흐름 이어가!,Our team chemistry is the best! Let's keep the momentum going!,私たちのチームの結束力は最高だ！この勢いを維持していこう！,我们团队的配合简直太棒了！让我们继续保持这种势头！,我們團隊的配合簡直太棒了！讓我們繼續保持這種勢頭！,Наша командная сыгранность просто великолепна! Давайте сохраним этот темп!,Notre esprit d'équipe est au top ! Continuons sur cette lancée !,¡La química de nuestro equipo es la mejor! ¡Sigamos con este impulso!,Tinh thần đồng đội của chúng ta thật tuyệt vời! Hãy tiếp tục duy trì đà này!
35,1,위험해! 조명 아래로 피해!,Danger! Take cover under the lights!,危険！ライトの下に避難してください！,危险！快躲到灯光下！,危險！快躲到燈光下！,Опасно! Укройтесь под светом фонарей!,Danger ! Mettez-vous à l'abri sous les projecteurs !,¡Peligro! ¡Refúgiese bajo las luces!,Nguy hiểm! Hãy tìm chỗ trú ẩn dưới ánh đèn!
36,1,희귀한 아이템들이 쏟아진다!,Rare items are pouring out!,希少品が続々と出回っている！,稀有物品大量涌现！,稀有物品大量湧現！,Редкие товары появляются в огромных количествах!,Des objets rares affluent !,¡Están saliendo artículos raros a raudales!,Hàng hiếm đang tràn ngập thị trường!
37,1,굿즈 판매 수익이 장난 아니야!,The profits from merchandise sales are insane!,グッズ販売による利益はとんでもない額だ！,商品销售利润简直高得离谱！,商品銷售利潤簡直高得離譜！,Прибыль от продажи товаров просто невероятная!,Les bénéfices tirés des ventes de marchandises sont hallucinants !,¡Las ganancias por la venta de mercancía son increíbles!,Lợi nhuận từ việc bán hàng hóa thật đáng kinh ngạc!
38,1,이것이 우리 유대감의 무게다! 박살 내라!,This is the weight of our bond! Smash it!,これが俺たちの絆の重みだ！打ち砕け！,这就是我们纽带的重量！粉碎它！,這就是我們紐帶的重量！粉碎它！,Вот каков вес нашей связи! Разбей её!,Voilà le poids de notre lien ! Brise-le !,¡Este es el peso de nuestro vínculo! ¡Rómpelo!,Đây chính là sức nặng của mối liên kết giữa chúng ta! Hãy phá tan nó đi!
39,1,비트를 더 빠르게! 멈추지 마!,Make the beat faster! Don't stop!,ビートをもっと速く！止めるな！,加快节奏！别停！,加快節奏！別停！,Ускорь ритм! Не останавливайся!,Accélérez le rythme ! N'arrêtez pas !,¡Acelera el ritmo! ¡No pares!,Tăng tốc độ nhịp điệu lên! Đừng dừng lại!
40,1,급소를 노려! 한 방이 중요해!,Aim for the vital spot! One knockout is everything!,急所を狙え！一撃必殺こそ全てだ！,瞄准要害！一击制胜！,瞄準要害！一擊制勝！,Цельтесь в жизненно важную точку! Один нокаут – это всё!,Visez le point faible ! Un seul KO suffit !,¡Apunta al punto vital! ¡Un nocaut lo es todo!,Hãy nhắm vào điểm yếu chí mạng! Một cú knock-out là tất cả!
41,1,"빈틈을 발견했어, 지금 찔러!","I've found a weakness, stab now!",弱点を見つけたぞ、今すぐ刺せ！,我找到弱点了，快刺！,我找到弱點了，快刺！,"Я обнаружил слабость, наносите удар!","J'ai trouvé un point faible, poignarde-moi maintenant !","¡He encontrado un punto débil, atácalo ahora!","Ta đã tìm ra điểm yếu, đâm ngay đi!"
