index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
19,토끼 띠,Year of the Rabbit,卯年,兔年,兔年,Год Кролика,Année du Lapin,Año del Conejo,Năm con Thỏ
20,마법 모자,Magic Hat,魔法の帽子,魔法帽,魔法帽,Волшебная шляпа,Chapeau magique,Sombrero mágico,Chiếc mũ ma thuật
21,스타 캡,Star Cap,スターキャップ,星帽,星帽,Звездная шапка,Chapeau d'étoile,Gorra de estrella,Mũ ngôi sao
22,새벽 캡,Dawn Cap,夜明けの帽子,黎明帽,黎明帽,Рассветная шапка,Bonnet d'aube,Gorra del amanecer,Mũ bình minh
23,하늘 배레,Sky Beret,スカイベレー,天空贝雷帽,天空貝雷帽,Небесный Берет,Béret céleste,Boina del cielo,Mũ nồi trời
24,앵콜 캡,Encore Cap,アンコールキャップ,安可帽,安可帽,Encore Cap,Encore Cap,Encore Cap,Mũ Encore
25,밀리 캡,Milli Cap,ミリキャップ,百万资本,百萬資本,Милли Кап,Milli Cap,Milli Cap,Milli Cap
26,튠 캡,Tune Cap,チューンキャップ,调谐帽,調諧帽,Колпачок для настройки,Tune Cap,Tapa de ajuste,Nắp điều chỉnh
27,파워 캡,Power Cap,電源キャップ,功率上限,功率上限,Крышка мощности,Power Cap,Capuchón de potencia,Mũ năng lượng
28,앙콜 배레,Encore Beret,アンコールベレー,安可贝雷帽,安可貝雷帽,Берет на бис,Béret Encore,Boina Encore,Mũ nồi Encore
29,퐁크 배레,Ponck Barret,ポンク・バレット,庞克·巴雷特,龐克·巴雷特,Понк Баррет,Ponck Barret,Ponck Barret,Ponck Barret
30,크라운 캡,Crown cap,クラウンキャップ,皇冠帽,皇冠帽,Колпак короны,Capuchon de couronne,tapa de corona,Mũ vương miện
31,이터널 캡,Eternal Cap,エターナルキャップ,永恒之帽,永恆之帽,Вечная Шапка,Casquette éternelle,Gorra eterna,Mũ vĩnh cửu
32,토끼 띠,Year of the Rabbit,卯年,兔年,兔年,Год Кролика,Année du Lapin,Año del Conejo,Năm con Thỏ
33,퀸 캡,Queen Cap,クイーンキャップ,女王帽,女王帽,Королевская шапка,Chapeau de la reine,Gorro de reina,Mũ Nữ hoàng
34,인디언 띠,Indian stripes,インディアンストライプ,印度条纹,印度條紋,Индийские полосы,rayures indiennes,rayas indias,Sọc Ấn Độ
35,유성 캡,Permanent Cap,パーマネントキャップ,永久帽,永久帽,Постоянная шапка,Capuchon permanent,Gorra permanente,Mũ vĩnh viễn
36,우주 모자,Space hat,宇宙帽,太空帽,太空帽,Космическая шляпа,Chapeau spatial,Sombrero espacial,Mũ không gian
37,은하 띠,Galaxy belt,銀河ベルト,银河带,銀河帶,Пояс Галактики,Ceinture galactique,Cinturón galáctico,Vành đai thiên hà
38,하트 캡,Heart cap,ハートキャップ,心帽,心帽,Шапочка в форме сердца,Bonnet en forme de cœur,gorro con forma de corazón,Mũ hình trái tim
39,냥이 띠,Year of the Kitty,猫の年,猫年,貓年,Год Кошки,Année du Chat,Año del gatito,Năm của mèo con
40,제왕 캡,Emperor Cap,エンペラーキャップ,皇帝帽,皇帝帽,Императорская шапка,Chapeau d'empereur,Gorra de emperador,Mũ Hoàng đế
41,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,-,-,-
46,-,-,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-
49,훈련검,Training test,トレーニングテスト,训练测试,訓練測試,Тренировочный тест,Test d'entraînement,Prueba de entrenamiento,Bài kiểm tra huấn luyện
50,셉터,Scepter,笏,权杖,權杖,Скипетр,Sceptre,Cetro,Quyền trượng
51,파워해머,Power Hammer,パワーハンマー,动力锤,動力錘,Силовой молоток,Marteau électrique,Martillo pilón,Búa điện
52,응원봉,cheering stick,応援棒,加油棒,加油棒,палочка для болельщиц,bâton d'encouragement,palo de ánimo,gậy cổ vũ
53,주목검,Noteworthy sword,注目すべき剣,值得注意的剑,值得注意的劍,Замечательный меч,Épée remarquable,Espada notable,Thanh kiếm đáng chú ý
54,열정검,Passion Check,情熱チェック,热情检验,熱情檢驗,Проверка страсти,Passion Check,Control de pasión,Kiểm tra đam mê
55,매료슬래시,Fascination Slash,魅惑の斬撃,迷恋斜线,迷戀斜線,Очарование Слэш,Fascination Slash,Fascinación Slash,Sự mê hoặc Slash
56,타이탄해머,Titanhammer,タイタンハンマー,泰坦之锤,泰坦之鎚,Титанхаммер,Titanhammer,Titanhammer,Búa Titan
57,플래타소드,Plata Sword,プラタソード,普拉塔剑,普拉塔劍,Меч Плата,Épée de Plata,Espada de Plata,Thanh kiếm Plata
58,제왕소드,Emperor Sword,皇帝の剣,帝皇之剑,帝皇之劍,Императорский Меч,Épée de l'Empereur,Espada del Emperador,Kiếm Hoàng Đế
59,스카이해머,Skyhammer,スカイハンマー,天锤,天錘,Скайхаммер,Marteau céleste,Skyhammer,Skyhammer
60,그믐슬래시,New Moon Slash,ニュー・ムーン・スラッシュ,新月斩,新月斬,Новолунный Слэш,Nouvelle Lune Slash,Nueva Luna Slash,Trăng non Slash
61,골드해머,Goldhammer,ゴールドハンマー,金锤,金槌,Гольдхаммер,Goldhammer,Martillo de oro,Goldhammer
62,퓨어소드,Pure Sword,ピュアソード,纯剑,純劍,Чистый Меч,Épée pure,Espada pura,Kiếm Thuần Khiết
63,하트셉터,Heartscepter,ハートセプター,心之权杖,心之權杖,Сердечный скипетр,sceptre du cœur,Cetro del corazón,Quyền trượng trái tim
64,빅하트셉터,Big Heart Scepter,ビッグハートセプター,大心权杖,大心權杖,Большой Сердце Скипетр,Sceptre du Grand Cœur,Cetro del Gran Corazón,Quyền trượng Trái Tim Lớn
65,팬소드,Fansword,ファンソード,扇剑,扇劍,Фансвер,Fansword,Fansword,Fansword
66,라이징소드,Rising Sword,ライジングソード,升龙之剑,昇龍之劍,Восходящий Меч,L'Épée Ascendante,Espada ascendente,Thanh kiếm trỗi dậy
67,스피릿해머,Spirit Hammer,スピリットハンマー,灵锤,靈錘,Духовный Молот,Marteau spirituel,Martillo espiritual,Búa Linh Hồn
68,뽀죡소드,Pointed Sword,尖った剣,尖剑,尖劍,Острый меч,Épée pointue,Espada puntiaguda,Thanh kiếm nhọn
69,파워소드,Power Sword,パワーソード,力量之剑,力量之劍,Силовой Меч,Épée de puissance,Espada de Poder,Thanh kiếm sức mạnh
70,레드슬래시,Red Slash,レッドスラッシュ,红色斜线,紅色斜線,Красный удар,Éclat rouge,Barra roja,Red Slash
71,타임해머,Time Hammer,タイムハンマー,时间之锤,時間之錘,Молот времени,Marteau temporel,Martillo del tiempo,Búa Thời Gian
72,파워해머,Power Hammer,パワーハンマー,动力锤,動力錘,Силовой молоток,Marteau électrique,Martillo pilón,Búa điện
73,시크릿소드,Secret Sword,秘密の剣,秘密之剑,秘密之劍,Тайный Меч,Épée secrète,Espada secreta,Thanh kiếm bí mật
74,스타셉터,Starceptor,スターセプター,星形接收器,星形接收器,Старсептор,Starceptor,Starceptor,Starceptor
75,사이드,Side,側,边,邊,Сторона,Côté,Lado,Bên
76,윙사이드,Wingside,ウイングサイド,翼侧,翼側,Вингсайд,Côté aile,Lado del ala,Cánh
77,레인슬래시,Rainslash,レインスラッシュ,雨刃,雨刃,Рейнслэш,Rainslash,Lluvia,Rainslash
78,데스틴소드,Destin Sword,デスティンソード,命运之剑,命運之劍,Меч Дестина,Épée de Destin,Espada de Destin,Thanh kiếm Destin
79,미스틱소드,Mystic Sword,ミスティックソード,神秘之剑,神秘之劍,Мистический меч,Épée mystique,Espada mística,Thanh kiếm thần bí
80,컬러사이드,Colorside,カラーサイド,色彩侧,色彩側,Цветовая сторона,Côté couleur,Colorside,Mặt màu
81,레드소드,Red Sword,赤い剣,红剑,紅劍,Красный Меч,Épée rouge,Espada Roja,Thanh kiếm đỏ
82,빅사이드,Big Side,大きな側面,大边,大邊,Большая сторона,Grand côté,Lado grande,Mặt lớn
83,플라워사이드,Flowerside,フラワーサイド,花边,花邊,Флауэрсайд,Flowerside,Junto a las flores,Flowerside
84,무지소드,Mujisod,ムジソッド,穆吉索德,穆吉索德,Муджисод,Mujisod,Mujisod,Mujisod
85,다이아사이드,Diaside,ディアサイド,迪亚赛德,迪亞賽德,Диасайд,Diaside,Diaside,Diaside
86,미러셉터,Mirrorceptor,ミラーセプター,镜像感受器,鏡像感受器,Зеркальный цепной ретранслятор,Mirrorcepteur,Receptor de espejos,Mirrorceptor
87,은하사이드,Galaxy Side,ギャラクシーサイド,银河边,銀河邊,Сторона Галактики,Côté Galactique,Galaxy Side,Mặt Thiên hà
88,슈퍼소드,Super Sword,スーパーソード,超级剑,超級劍,Супер Меч,Super épée,Súper Espada,Siêu Kiếm
89,-,-,-,-,-,-,-,-,-
90,-,-,-,-,-,-,-,-,-
91,-,-,-,-,-,-,-,-,-
92,-,-,-,-,-,-,-,-,-
93,-,-,-,-,-,-,-,-,-
94,-,-,-,-,-,-,-,-,-
95,-,-,-,-,-,-,-,-,-
96,-,-,-,-,-,-,-,-,-
97,연습복,Practice clothes,練習着,练习服,訓練服,тренировочная одежда,vêtements d'entraînement,Ropa de entrenamiento,quần áo tập luyện
98,데뷔의상,debut outfit,デビュー衣装,首套服装,首套服裝,дебютный наряд,tenue de début,atuendo de debut,trang phục ra mắt
99,스쿨룩,School look,スクールスタイル,校园风,校園風,Школьный образ,Style scolaire,Aspecto escolar,Trang phục đi học
100,주니어복,Junior wear,ジュニアウェア,青少年服装,青少年服裝,Детская одежда,Vêtements pour juniors,Ropa juvenil,Trang phục thiếu niên
101,루키스타일,Rookie Style,ルーキースタイル,新手风格,新手風格,Стиль новичка,Style de recrue,Estilo principiante,Phong cách tân binh
102,팬서비스룩,Fan service look,ファンサービスルック,粉丝福利造型,粉絲福利造型,Фансервисный взгляд,look de fan service,Aspecto de servicio al fan,Diện mạo phục vụ người hâm mộ
103,방송의상,Broadcast costumes,放送用衣装,广播服装,廣播服裝,Костюмы для трансляции,costumes de diffusion,Vestuario de transmisión,Trang phục phát sóng
104,백댄서복,backup dancer costume,バックダンサーの衣装,伴舞服装,伴舞服裝,костюм танцовщицы на подтанцовке,costume de danseuse de soutien,disfraz de bailarina de apoyo,trang phục vũ công phụ họa
105,메인무대복,Main stage costume,メインステージ衣装,主舞台服装,主舞台服裝,Главный сценический костюм,Costume de scène principale,Vestuario del escenario principal,Trang phục sân khấu chính
106,센터룩,Center look,中央のルック,中心视角,中心視角,Центральный взгляд,Centre de vue,Vista central,Hình ảnh trung tâm
107,댄스배틀복,dance battle outfit,ダンスバトル衣装,舞蹈比赛服装,舞蹈比賽服裝,костюм для танцевального баттла,tenue de battle de danse,atuendo para batalla de baile,trang phục đấu nhảy
108,유닛의상,Unit costumes,ユニットコスチューム,单位服装,單位服裝,Костюмы подразделения,costumes d'unité,Trajes de unidad,Trang phục đơn vị
109,청순의상,innocent outfit,無邪気な服装,无辜的装束,無辜的裝束,невинный наряд,tenue innocente,atuendo inocente,trang phục ngây thơ
110,시크의상,Chic outfit,シックな服装,时尚装扮,時尚裝扮,Стильный наряд,Tenue chic,Conjunto elegante,Trang phục sành điệu
111,힙합스타일,Hip-hop style,ヒップホップスタイル,嘻哈风格,嘻哈風格,Стиль хип-хопа,Style hip-hop,Estilo hip-hop,Phong cách hip-hop
112,큐티의상,Cute outfit,かわいい服,可爱的装扮,可愛的裝扮,Милый наряд,tenue mignonne,Lindo conjunto,Bộ trang phục dễ thương
113,화려한옷,fancy clothes,おしゃれな服,华丽的服装,華麗的服裝,нарядная одежда,vêtements de luxe,ropa elegante,quần áo sang trọng
114,개인의상,Personal costumes,個人用衣装,个人服装,個人服裝,Личные костюмы,costumes personnels,disfraces personales,Trang phục cá nhân
115,아이템룩,Item look,アイテムの外観,物品外观,物品外觀,Внешний вид предмета,Article,Aspecto del artículo,Hình thức sản phẩm
116,유니크복,Unique outfit,個性的な衣装,独特的服装,獨特的服裝,Уникальный наряд,tenue unique,Atuendo único,Trang phục độc đáo
117,심야무대복,late-night stage costumes,深夜の舞台衣装,深夜舞台服装,深夜舞台服裝,ночные сценические костюмы,costumes de scène de fin de soirée,vestuario de espectáculos nocturnos,trang phục sân khấu đêm khuya
118,블랙의상,black outfit,黒い服,黑色服装,黑色服裝,черный наряд,tenue noire,atuendo negro,trang phục đen
119,레드카펫,Red carpet,レッドカーペット,红毯,紅毯,Красная дорожка,Tapis rouge,Alfombra roja,Thảm đỏ
120,시상식복,Awards ceremony dress,授賞式用ドレス,颁奖典礼礼服,頒獎典禮禮服,дресс-код для церемонии награждения,robe de cérémonie de remise de prix,vestido para la ceremonia de entrega de premios,váy dự lễ trao giải
121,솔로무대복,Solo stage costume,ソロステージ衣装,独奏舞台服装,獨奏舞台服裝,Костюм для сольного выступления на сцене,costume de scène solo,Traje de escenario individual,Trang phục biểu diễn solo
122,월드복,World Clothing,世界の衣料品,世界服装,世界服裝,Мировая одежда,Vêtements du monde,Ropa del mundo,Trang phục Thế giới
123,슈퍼스타복,Superstar outfit,スーパースターの衣装,超级巨星服装,超級巨星服裝,Наряд суперзвезды,tenue de superstar,atuendo de superestrella,Trang phục siêu sao
124,트리플복,Triple box,トリプルボックス,三重盒子,三重盒,Тройной ящик,Boîte triple,Caja triple,Hộp ba
125,플래티넘,Platinum,白金,铂,鉑,Платина,Platine,Platino,Bạch kim
126,골드셀러,Gold seller,金販売業者,黄金卖家,黃金賣家,Продавец золота,vendeur d'or,vendedor de oro,Người bán vàng
127,레전드룩,Legendary look,伝説的なルックス,传奇般的造型,傳奇般的造型,Легендарный вид,Un look légendaire,Aspecto legendario,Vẻ ngoài huyền thoại
128,불멸의복,Immortal Garb,不死の装束,不朽的服饰,不朽的服飾,Бессмертное одеяние,Vêtements immortels,Atuendo inmortal,Trang phục bất tử
129,타이탄복,Titan suit,タイタンスーツ,泰坦套装,泰坦套裝,Костюм Титана,Combinaison Titan,Traje de Titán,Bộ đồ Titan
130,파워드레스,Power dress,パワードレス,强势连衣裙,強勢連身裙,Деловой наряд,Robe de pouvoir,Vestido poderoso,Trang phục quyền lực
131,은하계복,Galaxy Suit,ギャラクシースーツ,银河套装,銀河套裝,Галактический костюм,Combinaison Galaxie,Traje galáctico,Bộ đồ thiên hà
132,절대자의복,The Absolute One's Robe,絶対者のローブ,绝对者的长袍,絕對者的長袍,Мантия Абсолюта,La robe de l'Absolu,La túnica del Absoluto,Áo choàng của Đấng Tuyệt Đối
133,운명드레스,Destiny Dress,デスティニードレス,命运礼服,命運禮服,Платье Судьбы,Robe Destinée,Vestido del destino,Váy Định Mệnh
134,심판자의복,Judge's Garments,裁判官の衣装,法官服装,法官服裝,Судейская форма,Vêtements du juge,Vestimenta del juez,Trang phục thẩm phán
135,천상의복,Heavenly Garments,天上の衣,天上的衣裳,天上的衣裳,Небесные Одеяния,Vêtements célestes,Vestiduras celestiales,Trang phục Thiên đường
136,제왕의복,Royal garments,王室の衣装,皇家服饰,皇家服飾,Королевские одеяния,vêtements royaux,prendas reales,Trang phục hoàng gia
137,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,-
145,연습용마이크,Practice microphone,練習用マイク,练习麦克风,練習麥克風,Учебный микрофон,Microphone d'entraînement,Micrófono de práctica,micro tập luyện
146,데뷔마이크,Debut Mic,デビューマイク,首秀麦克风,首秀麥克風,Дебютный микрофон,Premier micro,Micrófono de debut,Mic ra mắt
147,버스킹마이크,Busking mic,路上パフォーマンス用マイク,街头卖艺麦克风,街頭賣藝麥克風,Микрофон для уличных выступлений,Micro de rue,Micrófono para músicos callejeros,Mic hát đường phố
148,보조마이크,auxiliary microphone,補助マイク,辅助麦克风,輔助麥克風,вспомогательный микрофон,Microphone auxiliaire,micrófono auxiliar,micro phụ
149,루키마이크,Rookie Mike,ルーキー・マイク,新秀迈克,新秀麥克,Новичок Майк,Mike le débutant,Novato Mike,Mike tân binh
150,방송마이크,Broadcast microphone,放送用マイク,广播麦克风,廣播麥克風,вещательный микрофон,Microphone de diffusion,Micrófono de transmisión,micro phát thanh
151,스포트마이크,Spot microphone,スポットマイク,点麦克风,點麥克風,Точечный микрофон,Microphone d'appoint,Micrófono puntual,Micrô điểm
152,핸드마이크,hand microphone,ハンドマイク,手持麦克风,手持麥克風,ручной микрофон,microphone à main,micrófono de mano,micro cầm tay
153,메인마이크,Main microphone,メインマイク,主麦克风,主麥克風,Основной микрофон,Microphone principal,Micrófono principal,Micrô chính
154,센터마이크,Center microphone,センターマイク,中央麦克风,中央麥克風,Центральный микрофон,Microphone central,Micrófono central,Micrô trung tâm
155,고성능마이크,high-performance microphone,高性能マイク,高性能麦克风,高性能麥克風,высокопроизводительный микрофон,microphone haute performance,micrófono de alto rendimiento,micro hiệu suất cao
156,유닛마이크,Unit Microphone,ユニットマイク,单元麦克风,單元麥克風,Микрофон блока,Microphone intégré,Micrófono de unidad,Micro tích hợp
157,골드마이크,Gold Mike,ゴールドマイク,黄金麦克,黃金麥克,Золотой Майк,Mike l'Or,Gold Mike,Mike Vàng
158,열정마이크,Passion Microphone,パッションマイク,激情麦克风,激情麥克風,Passion Microphone,Microphone Passion,Micrófono de la pasión,Micro đam mê
159,시크마이크,Chic Mike,シック・マイク,奇克·迈克,奇克·麥克,Чик Майк,Chic Mike,Chic Mike,Mike sành điệu
160,순수마이크,Pure Microphone,ピュアマイクロフォン,纯麦克风,純麥克風,Чистый микрофон,Microphone pur,Micrófono puro,Micro thuần túy
161,라이브마이크,Live Mic,ライブマイク,现场麦克风,現場麥克風,Live Mic,Micro en direct,Micrófono en vivo,Mic trực tiếp
162,미스틱마이크,Mystic Microphone,ミスティックマイクロフォン,神秘麦克风,神秘麥克風,Мистический микрофон,Microphone mystique,Micrófono místico,Micro huyền bí
163,특수마이크,Special microphone,特殊マイク,专用麦克风,專用麥克風,Специальный микрофон,Microphone spécial,Micrófono especial,Micrô đặc biệt
164,유니크마이므,Unique My,ユニークマイ,独一无二的我,獨一無二的我,Уникальный Мой,Unique Mon,Único Mi,Độc đáo của tôi
165,카리마이크,Karimike,カリミケ,卡里米克,卡里米克,Каримике,Karimike,Karimike,Karimike
166,블랙마이크,Black Mike,ブラック・マイク,黑迈克,黑麥克,Черный Майк,Black Mike,Mike negro,Mike Đen
167,레드마이크,Red Mike,レッド・マイク,红麦克,紅麥克,Красный Майк,Mike Rouge,Red Mike,Mike Đỏ
168,올마이크,All Mike,オールマイク,迈克,麥克,Все Майк,Tout Mike,Todo Mike,Tất cả Mike
169,솔로마이크,Solo Mic,ソロマイク,独奏麦克风,獨奏麥克風,Solo Mic,Micro solo,Micrófono solista,Mic solo
170,월드마이크,World Microphone,ワールドマイクロフォン,世界麦克风,世界麥克風,Всемирный микрофон,Microphone mondial,Micrófono mundial,Micro Thế giới
171,슈퍼마이크,Super Mike,スーパーマイク,超级迈克,超級麥克,Супер Майк,Super Mike,Super Mike,Siêu Mike
172,트리플마이크,Triple Microphone,トリプルマイク,三麦克风,三麥克風,Тройной микрофон,Triple microphone,Micrófono triple,Ba micro
173,플래마이크,Flamic,炎,弗拉米克,弗拉米克,Фламиновый,Flamic,Inflamado,Lửa
174,밀리언마이크,Million Mike,ミリオンマイク,百万迈克,百萬麥克,Миллион Майк,Million Mike,Millones de Mike,Triệu Mike
175,레전드마이크,Legend Mike,レジェンドマイク,传奇人物迈克,傳奇人物麥克,Легенда Майк,Légende Mike,Leyenda Mike,Huyền thoại Mike
176,불멸마이크,Immortal Microphone,不滅のマイクロフォン,不朽麦克风,不朽麥克風,Бессмертный Микрофон,Microphone immortel,Micrófono inmortal,Micro bất tử
177,타이탄마이크,Titan Mike,タイタンマイク,泰坦迈克,泰坦麥克,Титан Майк,Titan Mike,Titán Mike,Titan Mike
178,파워마이크,Power Microphone,パワーマイク,功率麦克风,功率麥克風,Силовой микрофон,Microphone alimenté,Micrófono de potencia,Micro công suất
179,은하계마이크,Galaxy Microphone,ギャラクシーマイク,银河麦克风,銀河麥克風,Микрофон Galaxy,Microphone Galaxy,Micrófono Galaxy,Micro Galaxy
180,절대마이크,Absolute Microphone,アブソリュートマイクロフォン,绝对麦克风,絕對麥克風,Абсолютный Микрофон,Microphone absolu,Micrófono Absolute,Microphone tuyệt đối
181,운명마이크,Destiny Microphone,デスティニーマイクロフォン,Destiny麦克风,Destiny麥克風,Destiny Microphone,Microphone Destiny,Micrófono Destiny,Micro Destiny
182,보이스마이크,Voice microphone,音声マイク,语音麦克风,語音麥克風,Голосовой микрофон,Microphone vocal,Micrófono de voz,Micrô giọng nói
183,태초마이크,First Microphone,ファーストマイク,第一麦克风,第一麥克風,Первый микрофон,Premier microphone,Primer micrófono,Chiếc micro đầu tiên
184,제왕마이크,Emperor Mike,エンペラーマイク,皇帝迈克,皇帝麥克,Император Майк,Empereur Mike,Emperador Mike,Hoàng đế Mike
185,-,-,-,-,-,-,-,-,-
186,-,-,-,-,-,-,-,-,-
187,-,-,-,-,-,-,-,-,-
188,-,-,-,-,-,-,-,-,-
189,-,-,-,-,-,-,-,-,-
190,-,-,-,-,-,-,-,-,-
191,-,-,-,-,-,-,-,-,-
192,-,-,-,-,-,-,-,-,-
193,훈련용링,training rings,トレーニングリング,训练环,訓練環,тренировочные кольца,anneaux d'entraînement,anillos de entrenamiento,vòng tập luyện
194,데뷔기념링,Debut commemorative ring,デビュー記念リング,首发纪念戒指,首發紀念戒指,Памятное кольцо дебюта,Bague commémorative de début,Anillo conmemorativo del debut,Nhẫn kỷ niệm ra mắt
195,우정링,friendship ring,友情の指輪,友谊戒指,友誼戒指,кольцо дружбы,bague d'amitié,anillo de amistad,nhẫn tình bạn
196,초심링,Beginner's Ring,初心者用リング,初学者戒指,初學者戒指,Кольцо для начинающих,Anneau de débutant,Anillo para principiantes,Nhẫn dành cho người mới bắt đầu
197,루키링,Rookiering,新人採用,新秀,新秀,Ройкиринг,Rookie,Novato,tân binh
198,인기투표링,Popularity Vote Ring,人気投票リング,人气投票环,人氣投票環,Кольцо народного голосования,Anneau de vote de popularité,Anillo de votación de popularidad,Vòng bình chọn phổ biến
199,스포트링,Sporting,スポーツ,体育,體育,Спортинг,Sportif,Deportivo,Thể thao
200,팬클럽링,Fan club ring,ファンクラブリング,粉丝俱乐部戒指,粉絲俱樂部戒指,Кольцо фан-клуба,bague de fan club,Anillo del club de fans,Nhẫn câu lạc bộ người hâm mộ
201,메인포인트,Main Point,要点,要点,重點,Главный пункт,Point principal,Punto principal,Điểm chính
202,센터링,centering,センタリング,定心,定心,центрирование,centrage,centrado,căn giữa
203,베스트링,Besting,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
204,글로벌링,Globaling,グローバル化,全球化,全球化,Глобализация,Mondialisation,Globalización,Toàn cầu hóa
205,골드보석,Gold jewelry,ゴールドジュエリー,黄金首饰,黃金首飾,Золотые украшения,bijoux en or,Joyas de oro,Trang sức vàng
206,열정링,Passion Ring,パッションリング,激情戒指,激情戒指,Кольцо страсти,Bague Passion,Anillo de la Pasión,Nhẫn đam mê
207,시크릿링,Secret Ring,シークレットリング,秘密戒指,秘密戒指,Секретное кольцо,Anneau secret,Anillo secreto,Chiếc nhẫn bí mật
208,순수매력링,Pure Charm Ring,ピュアチャームリング,纯洁魅力戒指,純潔魅力戒指,Кольцо с чистым шармом,Bague Pure Charm,Anillo de encanto puro,Nhẫn quyến rũ thuần khiết
209,퍼펙트링,Perfect Ring,完璧な指輪,完美戒指,完美戒指,Идеальное кольцо,Bague parfaite,Anillo perfecto,Chiếc nhẫn hoàn hảo
210,나이트링,Nighting,ナイティング,夜莺,夜鶯,Ночной сон,Rossignol,Noche,Chim họa mi
211,특수보석,Special gemstones,特別な宝石,特殊宝石,特殊寶石,Особые драгоценные камни,Pierres précieuses spéciales,Piedras preciosas especiales,Đá quý đặc biệt
212,유니크링,Unique Ring,ユニークな指輪,独特的戒指,獨特的戒指,Уникальное кольцо,Bague unique,Anillo único,Chiếc nhẫn độc đáo
213,카리스마링,Charisma Ring,カリスマリング,魅力戒指,魅力戒指,Кольцо Харизмы,Bague Charisme,Anillo de carisma,Nhẫn Sức Mạnh
214,블랙링,Black Ring,ブラックリング,黑环,黑環,Черное кольцо,Anneau noir,Anillo negro,Vòng đen
215,레드스타링,Red Starring,赤い星,红星,紅星,Красные звезды,Étoile rouge,Estrella Roja,Red Starring
216,올라운드링,All-rounding,オールラウンド,全能型,全能型,Всесторонний,Polyvalent,Todoterreno,Toàn diện
217,솔로스톤,Solostone,ソロストーン,索洛斯通,索洛斯通,Солостоун,Solostone,Piedra Solitaria,Solostone
218,월드링,World Ring,ワールドリング,世界环,世界環,Мировое кольцо,Anneau du monde,Anillo Mundial,Vòng tròn thế giới
219,슈퍼링,Super Ring,スーパーリング,超级环,超環,Суперкольцо,Super Ring,Súper Anillo,Siêu nhẫn
