idx,Korean,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
48,광고제거,Remove ads,広告を削除する,移除广告,移除廣告,Удалить рекламу,Supprimer les publicités,Eliminar anuncios,Xóa quảng cáo
49,1등급 제작석,Grade 1 Crafting Stone,グレード1のクラフトストーン,一级工艺石,一級工藝石,Камень для крафта 1-го уровня,Pierre à modeler de première qualité,Piedra de artesanía de grado 1,Đá chế tác cấp 1
50,2등급 제작석,Grade 2 Crafting Stone,グレード2のクラフトストーン,二级工艺石,二級工藝石,Камень для крафта 2-го уровня,Pierre à modeler de niveau 2,Piedra de artesanía de grado 2,Đá chế tác cấp 2
51,3등급 제작석,Grade 3 crafting stone,グレード3の工芸用石,三级工艺石,三級工藝石,камень для крафта 3-го уровня,pierre à modeler de niveau 3,Piedra artesanal de grado 3,Đá chế tạo cấp 3
52,4등급 제작석,Grade 4 Crafting Stone,グレード4のクラフトストーン,四级工艺石,四級工藝石,Камень для крафта 4-го уровня,Pierre à modeler de niveau 4,Piedra de artesanía de grado 4,Đá chế tác cấp 4
53,5등급 제작석,Grade 5 Crafting Stone,グレード5のクラフトストーン,5级工艺石,5級工藝石,Камень для крафта 5-го уровня,Pierre à modeler de niveau 5,Piedra de artesanía de grado 5,Đá chế tác cấp 5
54,6등급 제작석,Grade 6 crafting stone,グレード6の工芸用石,6级工艺石,6級工藝石,камень для крафта 6-го уровня,pierre à modeler de niveau 6,Piedra de artesanía de grado 6,Đá chế tác cấp 6
55,7등급 제작석,Grade 7 Crafting Stone,7年生向けクラフトストーン,7级工艺石,7級工藝石,Камень для крафта 7-го уровня,Pierre à modeler de 7e année,Piedra de artesanía de grado 7,Đá chế tác cấp 7
56,8등급 제작석,Grade 8 Crafting Stone,グレード8のクラフトストーン,8级工艺石,8級工藝石,Камень для крафта 8-го уровня,Pierre à modeler de niveau 8,Piedra de artesanía de grado 8,Đá chế tác cấp 8
57,9등급 제작석,Grade 9 Crafting Stone,グレード9 クラフトストーン,9级工艺石,9級工藝石,Камень для крафта 9-го уровня,Pierre à modeler de niveau 9,Piedra de artesanía de grado 9,Đá chế tác lớp 9
58,10등급 제작석,Grade 10 Crafting Stone,グレード10 クラフトストーン,10级工艺石,10級工藝石,Камень для крафта 10-го уровня,Pierre à modeler de niveau 10,Piedra de manualidades de grado 10,Đá chế tác cấp 10
59,실버엔진,Silver Engine,シルバーエンジン,银色引擎,銀色引擎,Серебряный двигатель,Moteur d'argent,Motor plateado,Động cơ bạc
60,골드엔진,Gold Engine,ゴールドエンジン,黄金引擎,黃金引擎,Золотой двигатель,Moteur d'or,Motor de oro,Động cơ vàng
61,광고,advertisement,広告,广告,廣告,реклама,publicité,anuncio,quảng cáo
